Title,Job Zone,Description,Domain,O*NET-SOC Code,spanish_title,spanish_description,spanish_domain
Security Guards,2,"Guard, patrol, or monitor premises to prevent theft, violence, or infractions of rules. May operate x-ray and metal detector equipment.",Protective Service Occupations,33-9032.00,Guardias de seguridad,"Guardia, patrulla o monitoree locales para evitar el robo, la violencia o las infracciones de las reglas. Puede operar equipos de rayos X y detector de metales.",Ocupaciones de servicios de protección
Crossing Guards and Flaggers,2,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites.",Protective Service Occupations,33-9091.00,Cruzando guardias y banderas,"Guiar o controlar el tráfico vehicular o peatonal en lugares como calles, escuelas, cruces ferroviarios o sitios de construcción.",Ocupaciones de servicios de protección
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2,"Monitor recreational areas, such as pools, beaches, or ski slopes, to provide assistance and protection to participants.",Protective Service Occupations,33-9092.00,"Salvavidas, patrulla de esquí y otros trabajadores de servicios de protección recreativa","Monitoree las áreas recreativas, como piscinas, playas o pistas de esquí, para brindar asistencia y protección a los participantes.",Ocupaciones de servicios de protección
Transportation Security Screeners,2,"Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints.",Protective Service Occupations,33-9093.00,Proyectores de seguridad de transporte,"Realice la detección de pasajeros, equipaje o carga para garantizar el cumplimiento de las regulaciones de la Administración de Seguridad del Transporte (TSA). Puede operar equipos de seguridad básicos, como máquinas de rayos X y varitas manuales en los puntos de control de detección.",Ocupaciones de servicios de protección
School Bus Monitors,2,Maintain order among students on a school bus. Duties include helping students safely board and exit and communicating behavioral problems. May perform pretrip and posttrip inspections and prepare for and assist in emergency evacuations.,Protective Service Occupations,33-9094.00,Monitores de autobuses escolares,Mantenga el orden entre los estudiantes en un autobús escolar. Las tareas incluyen ayudar a los estudiantes a abordar de forma segura y salir y comunicar problemas de comportamiento. Puede realizar inspecciones previas al preetrip y posteriores a la tripa y prepararse y ayudar en evacuaciones de emergencia.,Ocupaciones de servicios de protección
Retail Loss Prevention Specialists,2,"Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets.",Protective Service Occupations,33-9099.02,Especialistas en prevención de pérdidas minoristas,"Implementar procedimientos y sistemas para evitar la pérdida de mercancías. Realizar auditorías e investigaciones de la actividad de los empleados. Puede ayudar a desarrollar políticas, procedimientos y sistemas para salvaguardar los activos.",Ocupaciones de servicios de protección
Chefs and Head Cooks,3,"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods. May plan and price menu items, order supplies, and keep records and accounts.",Food Preparation and Serving Related Occupations,35-1011.00,Chefs y cocineros de cabeza,"Dirige y puede participar en la preparación, condimento y cocción de ensaladas, sopas, pescado, carnes, verduras, postres u otros alimentos. Puede planificar y precio los elementos del menú, suministros de pedidos y mantener registros y cuentas.",Preparación de alimentos y servir ocupaciones relacionadas
First-Line Supervisors of Food Preparation and Serving Workers,2,Directly supervise and coordinate activities of workers engaged in preparing and serving food.,Food Preparation and Serving Related Occupations,35-1012.00,Supervisores de primera línea de preparación de alimentos y servir a los trabajadores,Supervisar y coordinar directamente las actividades de los trabajadores dedicados a preparar y servir alimentos.,Preparación de alimentos y servir ocupaciones relacionadas
"Cooks, Fast Food",1,Prepare and cook food in a fast food restaurant with a limited menu. Duties of these cooks are limited to preparation of a few basic items and normally involve operating large-volume single-purpose cooking equipment.,Food Preparation and Serving Related Occupations,35-2011.00,"Cocineros, comida rápida",Prepare y cocine comida en un restaurante de comida rápida con un menú limitado. Los deberes de estos cocineros se limitan a la preparación de algunos artículos básicos y normalmente implican operar equipos de cocción de un solo volumen de gran volumen.,Preparación de alimentos y servir ocupaciones relacionadas
"Cooks, Institution and Cafeteria",2,"Prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias.",Food Preparation and Serving Related Occupations,35-2012.00,"Cooks, institución y cafetería","Prepare y cocine grandes cantidades de alimentos para instituciones, como escuelas, hospitales o cafeterías.",Preparación de alimentos y servir ocupaciones relacionadas
"Cooks, Private Household",3,Prepare meals in private homes. Includes personal chefs.,Food Preparation and Serving Related Occupations,35-2013.00,"Cocineros, hogar privado",Prepare comidas en casas privadas. Incluye chefs personales.,Preparación de alimentos y servir ocupaciones relacionadas
"Cooks, Restaurant",2,"Prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants. May order supplies, keep records and accounts, price items on menu, or plan menu.",Food Preparation and Serving Related Occupations,35-2014.00,"Cocineros, restaurante","Prepare, sazone y cocine platos como sopas, carnes, verduras o postres en restaurantes. ¿Puede solicitar suministros, guardar registros y cuentas, artículos de precio en el menú o planificar el menú?",Preparación de alimentos y servir ocupaciones relacionadas
"Cooks, Short Order",2,Prepare and cook to order a variety of foods that require only a short preparation time. May take orders from customers and serve patrons at counters or tables.,Food Preparation and Serving Related Occupations,35-2015.00,"Cocineros, orden corto",Prepare y cocine para pedir una variedad de alimentos que requieren solo un tiempo de preparación corto. Puede recibir pedidos de los clientes y servir a los clientes en mostradores o mesas.,Preparación de alimentos y servir ocupaciones relacionadas
Food Preparation Workers,1,"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea.",Food Preparation and Serving Related Occupations,35-2021.00,Trabajadores de preparación de alimentos,"Realice una variedad de tareas de preparación de alimentos que no sean cocinar, como preparar alimentos fríos y mariscos, cortar carne y preparar café o té.",Preparación de alimentos y servir ocupaciones relacionadas
Bartenders,2,"Mix and serve drinks to patrons, directly or through waitstaff.",Food Preparation and Serving Related Occupations,35-3011.00,Camareros,"Mezcle y sirva bebidas a los clientes, directamente o a través de Wailstaff.",Preparación de alimentos y servir ocupaciones relacionadas
Fast Food and Counter Workers,1,Perform duties such as taking orders and serving food and beverages. Serve customers at counter or from a steam table. May take payment. May prepare food and beverages.,Food Preparation and Serving Related Occupations,35-3023.00,Trabajadores de comida rápida y mostradores,Realice tareas como tomar pedidos y servir alimentos y bebidas. Servir a los clientes en el mostrador o desde una mesa de vapor. Puede tomar el pago. Puede preparar alimentos y bebidas.,Preparación de alimentos y servir ocupaciones relacionadas
Baristas,1,Prepare or serve specialty coffee or other beverages. Serve food such as baked goods or sandwiches to patrons.,Food Preparation and Serving Related Occupations,35-3023.01,Baristas,Prepare o sirva café especial u otras bebidas. Servir alimentos como productos horneados o sándwiches a los clientes.,Preparación de alimentos y servir ocupaciones relacionadas
Waiters and Waitresses,2,Take orders and serve food and beverages to patrons at tables in dining establishment.,Food Preparation and Serving Related Occupations,35-3031.00,Camareros y camareras,Tome pedidos y sirva alimentos y bebidas a los clientes en las mesas en el establecimiento de la comida.,Preparación de alimentos y servir ocupaciones relacionadas
"Food Servers, Nonrestaurant",2,"Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars.",Food Preparation and Serving Related Occupations,35-3041.00,"Servidores de alimentos, no restaurante","Sirva comida a personas fuera del entorno de un restaurante, como en habitaciones de hotel, habitaciones de hospital, instalaciones de atención residencial o automóviles.",Preparación de alimentos y servir ocupaciones relacionadas
Dining Room and Cafeteria Attendants and Bartender Helpers,1,"Facilitate food service. Clean tables; remove dirty dishes; replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons.",Food Preparation and Serving Related Occupations,35-9011.00,Comedor y asistentes de cafetería y ayudantes de camarero,"Facilitar el servicio de alimentos. Mesas limpias; quitar los platos sucios; Reemplace la ropa de mesa sucia; establecer tablas; Reponga el suministro de ropa de cama limpia, cubiertos, cristalería y platos; barra de servicio de suministro con alimentos; y sirva artículos como agua, condimentos y café a los clientes.",Preparación de alimentos y servir ocupaciones relacionadas
Dishwashers,1,"Clean dishes, kitchen, food preparation equipment, or utensils.",Food Preparation and Serving Related Occupations,35-9021.00,Lavaplatos,"Limpie platos, cocina, equipos de preparación de alimentos o utensilios.",Preparación de alimentos y servir ocupaciones relacionadas
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2,"Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service.",Food Preparation and Serving Related Occupations,35-9031.00,"Anfitriones y anfitriones, restaurante, salón y cafetería","Dé la bienvenida a los clientes, siéndalos en las mesas o en el salón, y ayude a garantizar la calidad de las instalaciones y el servicio.",Preparación de alimentos y servir ocupaciones relacionadas
First-Line Supervisors of Housekeeping and Janitorial Workers,2,"Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments.",Building and Grounds Cleaning and Maintenance Occupations,37-1011.00,Supervisores de primera línea de trabajadores de limpieza y limpieza,"Supervisar y coordinar directamente las actividades laborales de la limpieza del personal en hoteles, hospitales, oficinas y otros establecimientos.",Ocupaciones de limpieza y mantenimiento de edificios y terrenos
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3,"Directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities. Work may involve reviewing contracts to ascertain service, machine, and workforce requirements; answering inquiries from potential customers regarding methods, material, and price ranges; and preparing estimates according to labor, material, and machine costs.",Building and Grounds Cleaning and Maintenance Occupations,37-1012.00,"Supervisores de primera línea de paisajismo, servicio de césped y trabajadores de jardinería","Supervisar y coordinar directamente las actividades de los trabajadores que participan en actividades de paisajismo o de mantenimiento de terrenos. El trabajo puede implicar revisar los contratos para determinar los requisitos de servicio, máquina y fuerza laboral; respondiendo consultas de clientes potenciales con respecto a métodos, materiales y rangos de precios; y preparar estimaciones de acuerdo con los costos de mano de obra, material y máquina.",Ocupaciones de limpieza y mantenimiento de edificios y terrenos
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2,"Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk.",Building and Grounds Cleaning and Maintenance Occupations,37-2011.00,"Conserjes y limpiadores, excepto mucamas y limpiadores de limpieza","Mantenga los edificios en condiciones limpias y ordenadas. Realice tareas de limpieza pesadas, como pisos de limpieza, alfombras de champú, paredes de lavado y vidrio, y eliminar la basura. Las tareas pueden incluir tendencias de horno y caldera, realizar actividades de mantenimiento de rutina, notificar la gestión de la necesidad de reparaciones y limpiar la nieve o los escombros de la acera.",Ocupaciones de limpieza y mantenimiento de edificios y terrenos
Maids and Housekeeping Cleaners,1,"Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming.",Building and Grounds Cleaning and Maintenance Occupations,37-2012.00,Medidas y limpiadores de limpieza,"Realice cualquier combinación de tareas de limpieza de luz para mantener hogares privados o establecimientos comerciales, como hoteles y hospitales, de manera limpia y ordenada. Las tareas pueden incluir hacer camas, reponer ropa de cama, salas de limpieza y pasillos, y aspiradora.",Ocupaciones de limpieza y mantenimiento de edificios y terrenos
Pest Control Workers,2,Apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas.,Building and Grounds Cleaning and Maintenance Occupations,37-2021.00,Trabajadores de control de plagas,Aplique o libere soluciones químicas o gases tóxicos y establezca trampas para matar o eliminar las plagas y las alimañas que infestan los edificios y las áreas circundantes.,Ocupaciones de limpieza y mantenimiento de edificios y terrenos
Landscaping and Groundskeeping Workers,1,"Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units.",Building and Grounds Cleaning and Maintenance Occupations,37-3011.00,Trabajadores de paisajismo y jardinería,"Paisaje o mantenimiento de terrenos de propiedad utilizando herramientas o equipos manuales o eléctricos. Los trabajadores generalmente realizan una variedad de tareas, que pueden incluir cualquier combinación de lo siguiente: colocación de césped, corte, recorte, plantación, riego, fertilización, excavación, rastrillo, instalación de rociadores e instalación de unidades de pared de mampostería de concreto sin mortero.",Ocupaciones de limpieza y mantenimiento de edificios y terrenos
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2,"Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or crops. Usually requires specific training and state or federal certification.",Building and Grounds Cleaning and Maintenance Occupations,37-3012.00,"Manipuladores de pesticidas, pulverizadores y aplicadores, vegetación","Mezcle o aplique pesticidas, herbicidas, fungicidas o insecticidas a través de aerosoles, polvo, vapores, incorporación del suelo o aplicación química en árboles, arbustos, céspedes o cultivos. Generalmente requiere capacitación específica y certificación estatal o federal.",Ocupaciones de limpieza y mantenimiento de edificios y terrenos
Tree Trimmers and Pruners,2,"Using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree. Prune or treat trees or shrubs using handsaws, hand pruners, clippers, and power pruners. Works off the ground in the tree canopy and may use truck-mounted lifts.",Building and Grounds Cleaning and Maintenance Occupations,37-3013.00,Recortadores de árboles y podadores,"Utilizando técnicas sofisticadas de escalada y aparejo, corte las ramas muertas o excesivas de árboles o arbustos para mantener el derecho de paso para carreteras, aceras o servicios públicos, o para mejorar la apariencia, la salud y el valor del árbol. Pire o trate los árboles o arbustos con monedas de manos, podadoras de manos, cortinas y poderes de poder. Funciona en el suelo en el dosel del árbol y puede usar elevadores montados en camiones.",Ocupaciones de limpieza y mantenimiento de edificios y terrenos
First-Line Supervisors of Gambling Services Workers,2,"Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift. May verify and pay off jackpots. May reset slot machines after payoffs and make repairs or adjustments to slot machines or recommend removal of slot machines for repair. May plan and organize activities and services for guests in hotels/casinos.",Personal Care and Service Occupations,39-1013.00,Supervisores de primera línea de trabajadores de servicios de juego,"Supervisar y coordinar directamente las actividades de los trabajadores en áreas de juego asignadas. Puede circular entre tablas, observar operaciones y garantizar que las estaciones y juegos estén cubiertos para cada turno. Puede verificar y pagar los botes. Puede restablecer las máquinas tragamonedas después de los pagos y hacer reparaciones o ajustes a máquinas tragamonedas o recomendar la eliminación de máquinas tragamonedas para su reparación. Puede planificar y organizar actividades y servicios para invitados en hoteles/casinos.",Ocupaciones de cuidado y servicio personal
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",2,Directly supervise and coordinate activities of entertainment and recreation related workers.,Personal Care and Service Occupations,39-1014.00,"Supervisores de primera línea de trabajadores de entretenimiento y recreación, excepto los servicios de juego",Supervisar y coordinar directamente las actividades de los trabajadores relacionados con el entretenimiento y la recreación.,Ocupaciones de cuidado y servicio personal
First-Line Supervisors of Personal Service Workers,3,Supervise and coordinate activities of personal service workers.,Personal Care and Service Occupations,39-1022.00,Supervisores de primera línea de trabajadores de servicios personales,Supervisar y coordinar actividades de trabajadores de servicios personales.,Ocupaciones de cuidado y servicio personal
Animal Trainers,2,"Train animals for riding, harness, security, performance, or obedience, or for assisting persons with disabilities. Accustom animals to human voice and contact, and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team.",Personal Care and Service Occupations,39-2011.00,Entrenadores de animales,"Entrene a los animales para conducir, arnés, seguridad, rendimiento u obediencia, o para ayudar a las personas con discapacidades. Los animales acostumbrados a la voz y el contacto humano, y acondicionan a los animales que respondan a los comandos. Entrena a los animales de acuerdo con los estándares prescritos para el espectáculo o la competencia. Puede entrenar animales para llevar cargas de paquete o trabajar como parte del equipo de paquete.",Ocupaciones de cuidado y servicio personal
Animal Caretakers,2,"Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks.",Personal Care and Service Occupations,39-2021.00,Cuidadores de animales,"Alimentar, agua, novio, bañarse, hacer ejercicio o brindarle atención para promover y mantener el bienestar de las mascotas y otros animales que no se crían para el consumo, como perros, gatos, caballos de carrera, peces ornamentales o pájaros, animales zoológicos. y ratones. Trabajar en entornos como perreras, refugios de animales, zoológicos, circos y acuarios. Puede mantener registros de alimentación, tratamientos y animales recibidos o dados de alta. Puede limpiar, desinfectar y reparar jaulas, bolígrafos o peces.",Ocupaciones de cuidado y servicio personal
Gambling Dealers,2,"Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gambling equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands.",Personal Care and Service Occupations,39-3011.00,Comerciantes de juego,"Operar juegos de mesa. Párese o siéntese detrás de la mesa y opere juegos de azar dispensando el número apropiado de cartas o bloques a los jugadores, o operando otros equipos de juego. Distribuya ganancias o recolecte el dinero o las papas fritas de los jugadores. Puede comparar la mano de la casa contra las manos de los jugadores.",Ocupaciones de cuidado y servicio personal
Gambling and Sports Book Writers and Runners,2,"Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number-generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and pay out winnings for those wagers.",Personal Care and Service Occupations,39-3012.00,Gamling y escritores y corredores de libros deportivos,"Publicar información que permite a los clientes apostar en varias carreras y eventos deportivos. Asistir en la operación de juegos como Keno y Bingo. Puede operar equipos de generación de números aleatorios y anunciar los números para los clientes. Recibir, verificar y registrar las apuestas de los clientes. Escane y procese boletos ganadores presentados por los clientes y pague ganancias por esos apuestas.",Ocupaciones de cuidado y servicio personal
Motion Picture Projectionists,2,Set up and operate motion picture projection and related sound reproduction equipment.,Personal Care and Service Occupations,39-3021.00,Proyeccionistas de películas,Configure y opere la proyección de películas y equipos relacionados de reproducción de sonido.,Ocupaciones de cuidado y servicio personal
"Ushers, Lobby Attendants, and Ticket Takers",2,"Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and helping patrons locate such facilities as restrooms and telephones.",Personal Care and Service Occupations,39-3031.00,"Ujiers, asistentes del vestíbulo y tickets","Ayude a los clientes en eventos de entretenimiento realizando tareas, como recolectar boletos de admisión y pases de los clientes, ayudar a encontrar asientos, buscar artículos perdidos y ayudar a los clientes a ubicar instalaciones tales como baños y teléfonos.",Ocupaciones de cuidado y servicio personal
Amusement and Recreation Attendants,1,"Perform a variety of attending duties at amusement or recreation facility. May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides.",Personal Care and Service Occupations,39-3091.00,ASISTENTES DE DIVERSIÓN Y RECLACIÓN,"Realice una variedad de tareas de asistencia en el centro de diversión o recreación. Puede programar el uso de instalaciones de recreación, mantener y proporcionar equipos a los participantes de eventos deportivos o actividades recreativas, u operar concesiones y juegos de diversión.",Ocupaciones de cuidado y servicio personal
Costume Attendants,2,"Select, fit, and take care of costumes for cast members, and aid entertainers. May assist with multiple costume changes during performances.",Personal Care and Service Occupations,39-3092.00,Asistentes de disfraces,"Seleccione, se ajuste y cuide de disfraces para los miembros del elenco y los artistas de ayuda. Puede ayudar con múltiples cambios de disfraces durante las actuaciones.",Ocupaciones de cuidado y servicio personal
"Locker Room, Coatroom, and Dressing Room Attendants",2,"Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms.",Personal Care and Service Occupations,39-3093.00,"Vestuarios para vestuarios, recubrimiento y asistentes de vestuario","Proporcione artículos personales a clientes o clientes en vestuarios, vestuarios o salones de abrigo.",Ocupaciones de cuidado y servicio personal
Embalmers,3,Prepare bodies for interment in conformity with legal requirements.,Personal Care and Service Occupations,39-4011.00,Embalsameros,Prepare cuerpos para el entierro en conformidad con los requisitos legales.,Ocupaciones de cuidado y servicio personal
Crematory Operators,2,"Operate crematory equipment to reduce human or animal remains to bone fragments in accordance with state and local regulations. Duties may include preparing the body for cremation and performing general maintenance on crematory equipment. May use traditional flame-based cremation, calcination, or alkaline hydrolysis.",Personal Care and Service Occupations,39-4012.00,Operadores crematorios,"Opere el equipo crematorio para reducir los restos humanos o animales a los fragmentos óseos de acuerdo con las regulaciones estatales y locales. Las tareas pueden incluir la preparación del cuerpo para la cremación y realizar mantenimiento general en equipos crematorios. Puede usar la cremación, calcinación o hidrólisis alcalina basadas en la llama tradicionales.",Ocupaciones de cuidado y servicio personal
Funeral Attendants,2,"Perform a variety of tasks during funeral, such as placing casket in parlor or chapel prior to service, arranging floral offerings or lights around casket, directing or escorting mourners, closing casket, and issuing and storing funeral equipment.",Personal Care and Service Occupations,39-4021.00,Asistentes funerarios,"Realice una variedad de tareas durante el funeral, como colocar el ataúd en la sala o la capilla antes del servicio, organizar ofertas florales o luces alrededor del ataúd, dirigir o escoltar a los dolientes, cerrar ataúd y emitir y almacenar equipos funerarios.",Ocupaciones de cuidado y servicio personal
"Morticians, Undertakers, and Funeral Arrangers",3,"Perform various tasks to arrange and direct individual funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners.",Personal Care and Service Occupations,39-4031.00,"Morticianos, Empleadores y Arreglos de Funerales","Realice varias tareas para organizar y dirigir los servicios funerarios individuales, como coordinar el transporte del cuerpo a la morgue, entrevistar a la familia u otra persona autorizada para organizar detalles, seleccionar a los portadores de fallas, ayudar con la selección de funcionarios para ritos religiosos y proporcionar transporte para los dolientes.",Ocupaciones de cuidado y servicio personal
Barbers,3,"Provide barbering services, such as cutting, trimming, shampooing, and styling hair; trimming beards; or giving shaves.",Personal Care and Service Occupations,39-5011.00,Peluquería,"Proporcionar servicios de barbería, como cortar, recortar, champú y peinar el cabello; recorte de barbas; o dando afeitados.",Ocupaciones de cuidado y servicio personal
"Hairdressers, Hairstylists, and Cosmetologists",3,"Provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp. May shampoo hair, apply makeup, dress wigs, remove hair, and provide nail and skincare services.",Personal Care and Service Occupations,39-5012.00,"Peluqueros, estilistas y cosmetólogos","Proporcione servicios de belleza, como cortar, colorear y peinar el cabello, y masajear y tratar el cuero cabelludo. Puede que el cabello de champú, aplique maquillaje, pelucas de vestir, elimine el cabello y proporcione servicios de uñas y cuidado de la piel.",Ocupaciones de cuidado y servicio personal
"Makeup Artists, Theatrical and Performance",3,"Apply makeup to performers to reflect period, setting, and situation of their role.",Personal Care and Service Occupations,39-5091.00,"Maquilladores, teatral y actuación","Aplique maquillaje a los artistas para reflejar el período, el entorno y la situación de su papel.",Ocupaciones de cuidado y servicio personal
Manicurists and Pedicurists,2,Clean and shape customers' fingernails and toenails. May polish or decorate nails.,Personal Care and Service Occupations,39-5092.00,Manicuristas y pedicuristas,Limpie y dan forma a las uñas y uñas de los clientes de los clientes. Puede pulir o decorar uñas.,Ocupaciones de cuidado y servicio personal
Shampooers,2,Shampoo and rinse customers' hair.,Personal Care and Service Occupations,39-5093.00,Champú,Champú y enjuague el cabello de los clientes.,Ocupaciones de cuidado y servicio personal
Skincare Specialists,3,Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.,Personal Care and Service Occupations,39-5094.00,Especialistas en el cuidado de la piel,Proporcione tratamientos para el cuidado de la piel a la cara y al cuerpo para mejorar la apariencia de un individuo. Incluye electrólogos y especialistas en depilación láser.,Ocupaciones de cuidado y servicio personal
Baggage Porters and Bellhops,2,Handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments.,Personal Care and Service Occupations,39-6011.00,Portadores de equipaje y campanas,Maneje el equipaje para los viajeros en las terminales de transporte o para invitados en hoteles o establecimientos similares.,Ocupaciones de cuidado y servicio personal
Concierges,3,"Assist patrons at hotel, apartment, or office building with personal services. May take messages; arrange or give advice on transportation, business services, or entertainment; or monitor guest requests for housekeeping and maintenance.",Personal Care and Service Occupations,39-6012.00,Conserjes,"Ayudar a los clientes en el hotel, un apartamento o al edificio de oficinas con servicios personales. Puede tomar mensajes; organizar o dar consejos sobre transporte, servicios comerciales o entretenimiento; o monitorear las solicitudes de invitados de limpieza y mantenimiento.",Ocupaciones de cuidado y servicio personal
Tour Guides and Escorts,3,"Escort individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries.",Personal Care and Service Occupations,39-7011.00,Guías turísticos y acompañantes,"Escolta a individuos o grupos en recorridos turísticos o mediante lugares de interés, como establecimientos industriales, edificios públicos y galerías de arte.",Ocupaciones de cuidado y servicio personal
Travel Guides,2,"Plan, organize, and conduct long-distance travel, tours, and expeditions for individuals and groups.",Personal Care and Service Occupations,39-7012.00,Guías de viaje,"Planifique, organice y realice viajes, recorridos y expediciones a larga distancia para individuos y grupos.",Ocupaciones de cuidado y servicio personal
Childcare Workers,2,"Attend to children at schools, businesses, private households, and childcare institutions. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play.",Personal Care and Service Occupations,39-9011.00,Trabajadores de cuidado infantil,"Asistir a niños en escuelas, empresas, hogares privados e instituciones de cuidado infantil. Realice una variedad de tareas, como vestir, alimentar, bañarse y supervisar el juego.",Ocupaciones de cuidado y servicio personal
Nannies,2,"Care for children in private households and provide support and expertise to parents in satisfying children's physical, emotional, intellectual, and social needs. Duties may include meal planning and preparation, laundry and clothing care, organization of play activities and outings, discipline, intellectual stimulation, language activities, and transportation.",Personal Care and Service Occupations,39-9011.01,Niñeras,"Cuidar a los niños en hogares privados y brindar apoyo y experiencia a los padres para satisfacer las necesidades físicas, emocionales, intelectuales y sociales de los niños. Las tareas pueden incluir la planificación y preparación de las comidas, la ropa de lavandería y la ropa, la organización de actividades y salidas, disciplina, estimulación intelectual, actividades lingüísticas y transporte.",Ocupaciones de cuidado y servicio personal
Exercise Trainers and Group Fitness Instructors,3,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.",Personal Care and Service Occupations,39-9031.00,Entrenadores de ejercicios e instructores de fitness grupales,"Instruir o entrenar grupos o individuos en actividades de ejercicio con el propósito principal de la aptitud personal. Demuestre técnicas y forma, observe a los participantes y les explique las medidas correctivas necesarias para mejorar sus habilidades. Desarrollar e implementar enfoques individualizados para el ejercicio.",Ocupaciones de cuidado y servicio personal
Recreation Workers,4,"Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities. Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members.",Personal Care and Service Occupations,39-9032.00,Trabajadores de recreación,"Realizar actividades de recreación con grupos en agencias públicas, privadas o voluntarias o instalaciones de recreación. Organizar y promover actividades, como artesanías, deportes, juegos, música, dramaticias, recreación social, acampar y pasatiempos, teniendo en cuenta las necesidades e intereses de los miembros individuales.",Ocupaciones de cuidado y servicio personal
Residential Advisors,3,"Coordinate activities in resident facilities in secondary school and college dormitories, group homes, or similar establishments. Order supplies and determine need for maintenance, repairs, and furnishings. May maintain household records and assign rooms. May assist residents with problem solving or refer them to counseling resources.",Personal Care and Service Occupations,39-9041.00,Asesores residenciales,"Coordinar actividades en instalaciones para residentes en dormitorios de secundaria y universidad, casas grupales o establecimientos similares. Ordene los suministros y determine la necesidad de mantenimiento, reparaciones y muebles. Puede mantener registros del hogar y asignar habitaciones. Puede ayudar a los residentes con resolución de problemas o remitirlos a recursos de asesoramiento.",Ocupaciones de cuidado y servicio personal
