Title,dutch_title,Job Zone,Description,dutch_description,Domain,dutch_domain,O*NET-SOC Code
Veterinarians,Dierenartsen,5,"Diagnose, treat, or research diseases and injuries of animals. Includes veterinarians who conduct research and development, inspect livestock, or care for pets and companion animals.","Diagnose, behandeling of onderzoek ziekten en verwondingen van dieren. Bevat dierenartsen die onderzoek en ontwikkeling uitvoeren, vee inspecteren of zorg voor huisdieren en gezelschapsdieren.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1131.00
Registered Nurses,Geregistreerde verpleegkundigen,4,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required.","Beoordeel de gezondheidsproblemen en behoeften van de patiënt, ontwikkel en implementeer verpleegkundige zorgplannen en houd medische dossiers bij. Patiënten met een zieke, gewonde, gewonde, gewonde of gehandicapte patiënten worden toegediend. Kan patiënten adviseren over gezondheidsonderhoud en ziektepreventie of case management bieden. Licenties of registratie vereist.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1141.00
Acute Care Nurses,Acute zorgverpleegkundigen,3,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.","Bied geavanceerde verpleegkundige zorg voor patiënten met acute aandoeningen zoals hartaanvallen, respiratoire noodsyndroom of shock. Kan zorgen voor pre- en postoperatieve patiënten of gevorderde, invasieve diagnostische of therapeutische procedures uitvoeren.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1141.01
Advanced Practice Psychiatric Nurses,Geavanceerde praktijk psychiatrische verpleegkundigen,5,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.","Beoordeel, diagnosticeer en behandel individuen en gezinnen met geestelijke gezondheids- of middelengebruiksstoornissen of het potentieel voor dergelijke aandoeningen. Therapeutische activiteiten toepassen, inclusief het voorschrift van medicatie, per staatsvoorschriften en de toediening van psychotherapie.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1141.02
Critical Care Nurses,Verpleegkundigen in kritieke zorg,4,Provide specialized nursing care for patients in critical or coronary care units.,Zorg voor gespecialiseerde verpleegkundige zorg voor patiënten in kritieke of coronaire zorgeenheden.,Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1141.03
Clinical Nurse Specialists,Klinische verpleegkundige specialisten,5,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.","Direct verpleegkundig personeel bij het aanbieden van patiëntenzorg in een klinische praktijkomgeving, zoals een ziekenhuis, hospice, kliniek of thuis. Zorg voor naleving van vastgesteld klinisch beleid, protocollen, voorschriften en normen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1141.04
Nurse Anesthetists,Verpleegkundige anesthesisten,5,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.","Doe anesthesie toe, controleer de vitale tekenen van de patiënt en houd toezicht op het herstel van de patiënt uit anesthesie. Kan anesthesiologen, chirurgen, andere artsen of tandartsen helpen. Moeten geregistreerde verpleegkundigen zijn met een gespecialiseerde afgestudeerde opleiding.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1151.00
Nurse Midwives,Verpleegkundige verloskundigen,5,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.","Diagnose en coördineer alle aspecten van het geboorteproces, onafhankelijk of als onderdeel van een gezondheidszorgteam. Kan gynaecologische zorg voor welwinnen bieden. Moet gespecialiseerde, afgestudeerde verpleegkundige opleiding hebben.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1161.00
Nurse Practitioners,Verpleegkundigen,5,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.","Diagnose en behandel acute, episodische of chronische ziekte, onafhankelijk of als onderdeel van een zorgteam. Kan zich richten op gezondheidsbevordering en ziektepreventie. Kan diagnostische tests zoals laboratoriumwerk en X -stralen bestellen, uitvoeren of interpreteren. Kan medicatie voorschrijven. Moeten geregistreerde verpleegkundigen zijn met een gespecialiseerde afgestudeerde opleiding.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1171.00
Audiologists,Audiologen,5,Assess and treat persons with hearing and related disorders. May fit hearing aids and provide auditory training. May perform research related to hearing problems.,Beoordeel en behandel personen met gehoor- en gerelateerde aandoeningen. Kan passen bij gehoorapparaten en auditieve training bieden. Kan onderzoek uitvoeren met betrekking tot gehoorproblemen.,Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1181.00
Anesthesiologists,Anesthesiologen,5,"Administer anesthetics and analgesics for pain management prior to, during, or after surgery.","Beheer anesthetica en analgetica voor pijnbeheer voorafgaand aan, tijdens of na de operatie.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1211.00
Cardiologists,Cardiologen,5,"Diagnose, treat, manage, and prevent diseases or conditions of the cardiovascular system. May further subspecialize in interventional procedures (e.g., balloon angioplasty and stent placement), echocardiography, or electrophysiology.","Diagnose, behandelen, beheren en voorkomen van ziekten of aandoeningen van het cardiovasculaire systeem. Kan verder subspecialiseren in interventionele procedures (bijv. Balloon angioplastiek en stentplaatsing), echocardiografie of elektrofysiologie.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1212.00
Dermatologists,Dermatologen,5,"Diagnose and treat diseases relating to the skin, hair, and nails. May perform both medical and dermatological surgery functions.","Diagnose en behandel ziekten met betrekking tot de huid, haar en nagels. Kan zowel medische als dermatologische chirurgische functies uitvoeren.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1213.00
Emergency Medicine Physicians,Artsen voor spoedeisende geneeskunde,5,"Make immediate medical decisions and act to prevent death or further disability. Provide immediate recognition, evaluation, care, stabilization, and disposition of patients. May direct emergency medical staff in an emergency department.","Maak onmiddellijke medische beslissingen en handel om overlijden of verdere handicap te voorkomen. Zorg voor onmiddellijke erkenning, evaluatie, zorg, stabilisatie en de opstelling van patiënten. Kan medisch noodpersoneel op een spoedeisende hulp voor noodgevallen leiden.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1214.00
Family Medicine Physicians,Familie geneeskunde artsen,5,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.","Diagnosticeren, behandelen en preventieve zorg bieden aan individuen en gezinnen gedurende de hele levensduur. Kan patiënten doorverwijzen naar specialisten wanneer dat nodig is voor verdere diagnose of behandeling.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1215.00
General Internal Medicine Physicians,Algemene interne geneeskunde artsen,5,"Diagnose and provide nonsurgical treatment for a wide range of diseases and injuries of internal organ systems. Provide care mainly for adults and adolescents, and are based primarily in an outpatient care setting.","Diagnose en bieden niet -chirurgische behandeling voor een breed scala aan ziekten en verwondingen van interne orgaansystemen. Zorg voornamelijk voor volwassenen en adolescenten, en zijn voornamelijk gebaseerd op een poliklinische zorgomgeving.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1216.00
Neurologists,Neurologen,5,"Diagnose, manage, and treat disorders and diseases of the brain, spinal cord, and peripheral nerves, with a primarily nonsurgical focus.","Diagnose, beheren en behandelen van stoornissen en ziekten van de hersenen, het ruggenmerg en de perifere zenuwen, met een primair niet -chirurgische focus.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1217.00
Obstetricians and Gynecologists,Verloskundigen en gynaecologen,5,"Provide medical care related to pregnancy or childbirth. Diagnose, treat, and help prevent diseases of women, particularly those affecting the reproductive system. May also provide general care to women. May perform both medical and gynecological surgery functions.","Bied medische zorg met betrekking tot zwangerschap of bevalling. Diagnose, behandeling en helpen bij het voorkomen van ziekten van vrouwen, met name die van het reproductieve systeem. Kan ook algemene zorg bieden aan vrouwen. Kan zowel medische als gynaecologische chirurgische functies uitvoeren.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1218.00
"Pediatricians, General","Kinderartsen, generaal",5,"Diagnose, treat, and help prevent diseases and injuries in children. May refer patients to specialists for further diagnosis or treatment, as needed.","Diagnose, behandeling en helpen bij het voorkomen van ziekten en verwondingen bij kinderen. Kan patiënten indien nodig doorverwijzen naar specialisten voor verdere diagnose of behandeling.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1221.00
"Physicians, Pathologists","Artsen, pathologen",5,"Diagnose diseases and conduct lab tests using organs, body tissues, and fluids. Includes medical examiners.","Diagnose van ziekten en voer laboratoriumtests uit met behulp van organen, lichaamsweefsels en vloeistoffen. Inclusief medische onderzoekers.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1222.00
Psychiatrists,Psychiaters,5,"Diagnose, treat, and help prevent mental disorders.","Diagnose, behandelen en helpen bij het voorkomen van psychische stoornissen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1223.00
Radiologists,Radiologen,5,"Diagnose and treat diseases and injuries using medical imaging techniques, such as x rays, magnetic resonance imaging (MRI), nuclear medicine, and ultrasounds. May perform minimally invasive medical procedures and tests.","Diagnose en behandeling van ziekten en verwondingen met behulp van medische beeldvormingstechnieken, zoals X -stralen, beeldvorming van magnetische resonantie (MRI), nucleaire geneeskunde en echografie. Kan minimaal invasieve medische procedures en tests uitvoeren.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1224.00
Allergists and Immunologists,Allerges en immunologen,5,"Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system.","Diagnose, behandeling en helpen bij het voorkomen van allergische ziekten en ziekteprocessen die het immuunsysteem beïnvloeden.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1229.01
Hospitalists,Ziekenhuis,5,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment.","Zorg voor voornamelijk intramurale zorg in omgevingen zoals medische afdelingen, acute zorgeenheden, intensive care -eenheden, revalidatiecentra of spoedafkamers. Beheer en coördineer de patiëntenzorg tijdens de behandeling.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1229.02
Urologists,Urologen,5,"Diagnose, treat, and help prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands.","Diagnose, behandelen en helpen goedaardige en kwaadaardige medische en chirurgische stoornissen van het urogenitale systeem en de nierklieren te voorkomen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1229.03
Physical Medicine and Rehabilitation Physicians,Physical Medicine and revalidatieartsen,5,"Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation.","Diagnose en behandeling van aandoeningen die fysiotherapie vereisen om fysieke, mentale en beroepsmatige revalidatie te bieden.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1229.04
Preventive Medicine Physicians,Preventieve geneeskundeartsen,5,"Apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death. May practice population-based medicine or diagnose and treat patients in the context of clinical health promotion and disease prevention.","Toepassing van algemene preventieve geneeskunde en volksgezondheidsproblemen toe om de gezondheidszorg te bevorderen op groepen of individuen, en te helpen bij de preventie of vermindering van het risico op ziekte, letsel, handicap of overlijden. Kan populatiegebaseerde geneeskunde beoefenen of patiënten diagnosticeren en behandelen in de context van klinische gezondheidsbevordering en ziektepreventie.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1229.05
Sports Medicine Physicians,Artsen voor sportgeneeskunde,5,"Diagnose, treat, and help prevent injuries that occur during sporting events, athletic training, and physical activities.","Diagnose, behandeling en helpen bij het voorkomen van verwondingen die zich voordoen tijdens sportevenementen, atletische training en fysieke activiteiten.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1229.06
"Ophthalmologists, Except Pediatric","Oftalmologen, behalve pediatrisch",5,Diagnose and perform surgery to treat and help prevent disorders and diseases of the eye. May also provide vision services for treatment including glasses and contacts.,"Diagnosticeer en voer een operatie uit om te behandelen en te helpen bij het voorkomen van aandoeningen en het oogaandoeningen. Kan ook visuele diensten bieden voor behandeling, inclusief bril en contacten.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1241.00
"Orthopedic Surgeons, Except Pediatric","Orthopedische chirurgen, behalve pediatrisch",5,Diagnose and perform surgery to treat and prevent rheumatic and other diseases in the musculoskeletal system.,Diagnose en voer een operatie uit om reumatische en andere ziekten in het musculoskeletale systeem te behandelen en te voorkomen.,Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1242.00
Pediatric Surgeons,Pediatrische chirurgen,5,"Diagnose and perform surgery to treat fetal abnormalities and birth defects, diseases, and injuries in fetuses, premature and newborn infants, children, and adolescents. Includes all pediatric surgical specialties and subspecialties.","Diagnose en voer een operatie uit om foetale afwijkingen en geboorteafwijkingen, ziekten en verwondingen bij foetussen, voortijdige en pasgeboren baby's, kinderen en adolescenten te behandelen. Bevat alle pediatrische chirurgische specialiteiten en subspecialiteiten.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1243.00
Acupuncturists,Acupuncturisten,5,"Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies.","Diagnose, behandelen en voorkomen van aandoeningen door specifieke acupunctuurpunten in het lichaam te stimuleren met behulp van acupunctuurnaalden. Kan ook bekers, voedingssupplementen, therapeutische massage, acupressuur en andere alternatieve gezondheidstherapieën gebruiken.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1291.00
Dental Hygienists,Tandhygiënisten,3,Administer oral hygiene care to patients. Assess patient oral hygiene problems or needs and maintain health records. Advise patients on oral health maintenance and disease prevention. May provide advanced care such as providing fluoride treatment or administering topical anesthesia.,"Toediening van orale hygiënezorg aan patiënten. Beoordeel patiënt mondhygiëne problemen of behoeften en houd gezondheidsdossiers bij. Patiënten adviseren over mondelinge gezondheidsonderhoud en ziektevreventie. Kan geavanceerde zorg bieden, zoals het bieden van fluoridebehandeling of het toedienen van topische anesthesie.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1292.00
Naturopathic Physicians,Natuurgeneeskundigen,5,"Diagnose, treat, and help prevent diseases using a system of practice that is based on the natural healing capacity of individuals. May use physiological, psychological or mechanical methods. May also use natural medicines, prescription or legend drugs, foods, herbs, or other natural remedies.","Diagnose, behandeling en helpen bij het voorkomen van ziekten met behulp van een praktijksysteem dat is gebaseerd op de natuurlijke genezingscapaciteit van individuen. Kan fysiologische, psychologische of mechanische methoden gebruiken. Kan ook natuurlijke geneesmiddelen, voorgeschreven of legende -medicijnen, voedingsmiddelen, kruiden of andere natuurlijke remedies gebruiken.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1299.01
Orthoptists,Orthoptisten,5,Diagnose and treat visual system disorders such as binocular vision and eye movement impairments.,Diagnose en behandel visuele systeemaandoeningen zoals binoculair visie- en oogbewegingsstoornissen.,Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-1299.02
Medical and Clinical Laboratory Technologists,Medische en klinische laboratoriumtechnologen,4,"Perform complex medical laboratory tests for diagnosis, treatment, and prevention of disease. May train or supervise staff.","Voer complexe medische laboratoriumtests uit voor diagnose, behandeling en preventie van ziekten. Kan personeel trainen of toezicht houden.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2011.00
Cytogenetic Technologists,Cytogenetische technologen,4,"Analyze chromosomes or chromosome segments found in biological specimens, such as amniotic fluids, bone marrow, solid tumors, and blood to aid in the study, diagnosis, classification, or treatment of inherited or acquired genetic diseases. Conduct analyses through classical cytogenetic, fluorescent in situ hybridization (FISH) or array comparative genome hybridization (aCGH) techniques.","Analyseer chromosomen of chromosoomsegmenten gevonden in biologische monsters, zoals vruchtwater, beenmerg, solide tumoren en bloed om te helpen bij de studie, diagnose, classificatie of behandeling van erfelijke of verworven genetische ziekten. Voer analyses uit via klassieke cytogenetische, fluorescerende in situ hybridisatie (Fish) of array -vergelijkende genoomhybridisatie (ACGH) -technieken.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2011.01
Cytotechnologists,Cytotechnologen,5,"Stain, mount, and study cells to detect evidence of cancer, hormonal abnormalities, and other pathological conditions following established standards and practices.","Stain, monteer en bestudeer cellen om bewijs van kanker, hormonale afwijkingen en andere pathologische aandoeningen na vaste normen en praktijken te detecteren.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2011.02
Histotechnologists,Histotechnologen,4,Apply knowledge of health and disease causes to evaluate new laboratory techniques and procedures to examine tissue samples. Process and prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists. May solve technical or instrument problems or assist with research studies.,Toepassing kennis van gezondheid en ziekten veroorzaakt veroorzaakt om nieuwe laboratoriumtechnieken en -procedures te evalueren om weefselmonsters te onderzoeken. Verwerk en bereid histologische dia's van weefselsecties voor microscopisch onderzoek en diagnose door pathologen. Kan technische of instrumentproblemen oplossen of helpen bij onderzoeksstudies.,Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2011.04
Medical and Clinical Laboratory Technicians,Medische en klinische laboratoriumtechnici,3,"Perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the supervision of a medical technologist.","Voer routinematige medische laboratoriumtests uit voor de diagnose, behandeling en preventie van ziekten. Kan werken onder toezicht van een medisch technoloog.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2012.00
Histology Technicians,Histologische technici,3,Prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists. May assist with research studies.,Bereid histologische dia's van weefselsecties voor microscopisch onderzoek en diagnose door pathologen. Kan helpen bij onderzoeksstudies.,Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2012.01
Cardiovascular Technologists and Technicians,Cardiovasculaire technologen en technici,3,"Conduct tests on pulmonary or cardiovascular systems of patients for diagnostic, therapeutic, or research purposes. May conduct or assist in electrocardiograms, cardiac catheterizations, pulmonary functions, lung capacity, and similar tests.","Voer tests uit op long- of cardiovasculaire systemen van patiënten voor diagnostische, therapeutische of onderzoeksdoeleinden. Kan leiden of helpen bij elektrocardiogrammen, hartkatheterisaties, longfuncties, longcapaciteit en soortgelijke tests.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2031.00
Diagnostic Medical Sonographers,Diagnostische medische sonografen,3,Produce ultrasonic recordings of internal organs for use by physicians. Includes vascular technologists.,Produceer ultrasone opnames van interne organen voor gebruik door artsen. Inclusief vasculaire technologen.,Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2032.00
Nuclear Medicine Technologists,Nucleaire geneeskunde technologen,3,"Prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment. Prepare stock solutions of radioactive materials and calculate doses to be administered by radiologists. Subject patients to radiation. Execute blood volume, red cell survival, and fat absorption studies following standard laboratory techniques.","Bereid, toedien en meet radioactieve isotopen in therapeutische, diagnostische en tracer -onderzoeken met behulp van een verscheidenheid aan radio -isotoopapparatuur. Bereid voorraadoplossingen van radioactieve materialen voor en bereken doses die moeten worden toegediend door radiologen. Patiënten onderwerpen aan straling. Voer bloedvolume, overleving van rode cellen en vetabsorptie uit na standaard laboratoriumtechnieken.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2033.00
Radiologic Technologists and Technicians,Radiologische technologen en technici,3,Take x-rays and CAT scans or administer nonradioactive materials into patient's bloodstream for diagnostic or research purposes. Includes radiologic technologists and technicians who specialize in other scanning modalities.,Neem röntgenfoto's en CAT-scans of geef niet-radioactieve materialen toe in de bloedbaan van de patiënt voor diagnostische of onderzoeksdoeleinden. Inclusief radiologische technologen en technici die gespecialiseerd zijn in andere scanmodaliteiten.,Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2034.00
Magnetic Resonance Imaging Technologists,Magnetische resonantie beeldvormingstechnologen,3,"Operate Magnetic Resonance Imaging (MRI) scanners. Monitor patient safety and comfort, and view images of area being scanned to ensure quality of pictures. May administer gadolinium contrast dosage intravenously. May interview patient, explain MRI procedures, and position patient on examining table. May enter into the computer data such as patient history, anatomical area to be scanned, orientation specified, and position of entry.","Operate Magnetic Resonance Imaging (MRI) scanners. Controleer de veiligheid en het comfort van de patiënt en bekijk beelden van het gebied dat wordt gescand om de kwaliteit van foto's te garanderen. Kan gadoliniumcontrastdosering intraveneus toedienen. Kan patiënt interviewen, MRI -procedures uitleggen en patiënt positioneren bij het onderzoeken van tabel. Kan de computergegevens zoals de geschiedenis van de patiënt, het te scannen anatomisch gebied, worden gespecificeerd, en de positie van het binnenvoer binnenkomen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2035.00
Medical Dosimetrists,Medische dosimetristen,3,"Generate radiation treatment plans, develop radiation dose calculations, communicate and supervise the treatment plan implementation, and consult with members of radiation oncology team.","Genereer stralingsbehandelingsplannen, ontwikkel de berekeningen van de stralingsdosis, communiceer en begeleid de implementatie van het behandelplan en raadpleeg de leden van het stralingsoncologieteam.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2036.00
Emergency Medical Technicians,Medische noodhulpmiddelen,3,Assess injuries and illnesses and administer basic emergency medical care. May transport injured or sick persons to medical facilities.,Beoordeel verwondingen en ziekten en behaal medische zorg voor fundamentele noodsituaties. Kan gewonde of zieke personen vervoeren naar medische voorzieningen.,Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2042.00
Paramedics,Paramedici,3,"Administer basic or advanced emergency medical care and assess injuries and illnesses. May administer medication intravenously, use equipment such as EKGs, or administer advanced life support to sick or injured individuals.","Beheer basis- of geavanceerde medische zorg voor noodgevallen en beoordeel verwondingen en ziekten. Kan medicatie intraveneus toedienen, apparatuur zoals EKG's gebruiken of geavanceerde levensondersteuning verlenen aan zieke of gewonde personen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2043.00
Dietetic Technicians,Dietetische technici,3,"Assist in the provision of food service and nutritional programs, under the supervision of a dietitian. May plan and produce meals based on established guidelines, teach principles of food and nutrition, or counsel individuals.","Assisteren bij het aanbieden van foodservice en voedingsprogramma's, onder toezicht van een diëtist. Kan maaltijden plannen en produceren op basis van gevestigde richtlijnen, principes van voedsel en voeding onderwijzen of individuen adviseren.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2051.00
Pharmacy Technicians,Apotheektechnici,3,"Prepare medications under the direction of a pharmacist. May measure, mix, count out, label, and record amounts and dosages of medications according to prescription orders.","Bereid medicijnen voor onder leiding van een apotheker. Kan volgens receptorders meten, mixen, tellen, labelen en registreren bedragen en doseringen van medicijnen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2052.00
Psychiatric Technicians,Psychiatrische technici,3,"Care for individuals with mental or emotional conditions or disabilities, following the instructions of physicians or other health practitioners. Monitor patients' physical and emotional well-being and report to medical staff. May participate in rehabilitation and treatment programs, help with personal hygiene, and administer oral or injectable medications.","Zorg voor personen met mentale of emotionele omstandigheden of handicaps, volgens de instructies van artsen of andere gezondheidswerkers. Bewaak het fysieke en emotionele welzijn van patiënten en rapporteer aan medisch personeel. Kan deelnemen aan revalidatie- en behandelingsprogramma's, helpen bij persoonlijke hygiëne en orale of injecteerbare medicijnen toedienen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2053.00
Surgical Technologists,Chirurgische technologen,3,"Assist in operations, under the supervision of surgeons, registered nurses, or other surgical personnel. May help set up operating room, prepare and transport patients for surgery, adjust lights and equipment, pass instruments and other supplies to surgeons and surgeons' assistants, hold retractors, cut sutures, and help count sponges, needles, supplies, and instruments.","Assisteren bij operaties, onder toezicht van chirurgen, geregistreerde verpleegkundigen of ander chirurgisch personeel. Kan helpen bij het opzetten van de operatiekamer, het voorbereiden en transporteren van patiënten op een operatie, het aanpassen van lichten en apparatuur, doorgeven van instrumenten en andere benodigdheden aan chirurgen en chirurgen -assistenten, het houden van retractors, snijdende hechtingen en helpen bij het tellen van sponzen, naalden, benodigdheden en instrumenten.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2055.00
Veterinary Technologists and Technicians,Veterinaire technologen en technici,3,"Perform medical tests in a laboratory environment for use in the treatment and diagnosis of diseases in animals. Prepare vaccines and serums for prevention of diseases. Prepare tissue samples, take blood samples, and execute laboratory tests, such as urinalysis and blood counts. Clean and sterilize instruments and materials and maintain equipment and machines. May assist a veterinarian during surgery.","Voer medische tests uit in een laboratoriumomgeving voor gebruik bij de behandeling en diagnose van ziekten bij dieren. Bereid vaccins en serums voor op het voorkomen van ziekten. Bereid weefselmonsters voor, neem bloedmonsters en voer laboratoriumtests uit, zoals urineonderzoek en bloedtellingen. Reinig en steriliseer instrumenten en materialen en onderhoud apparatuur en machines. Kan een dierenarts helpen tijdens de operatie.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2056.00
Ophthalmic Medical Technicians,Oogheelkundige medische technici,3,"Assist ophthalmologists by performing ophthalmic clinical functions. May administer eye exams, administer eye medications, and instruct the patient in care and use of corrective lenses.","Help oogheelkolingen door oogheelkundige klinische functies uit te voeren. Kan oogonderzoeken afgeven, oogmedicijnen afgeven en de patiënt instrueren in de zorg en het gebruik van corrigerende lenzen.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2057.00
Licensed Practical and Licensed Vocational Nurses,Licensed praktische en gelicentieerde beroepsverpleegkundigen,3,"Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required.","Zorg voor zieke, gewonde of herstel van patiënten of personen met een handicap in ziekenhuizen, verpleeghuizen, klinieken, particuliere huizen, groepshuizen en soortgelijke instellingen. Kan werken onder toezicht van een geregistreerde verpleegkundige. Licenties vereist.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2061.00
Medical Records Specialists,Medische dossiers specialisten,3,"Compile, process, and maintain medical records of hospital and clinic patients in a manner consistent with medical, administrative, ethical, legal, and regulatory requirements of the healthcare system. Classify medical and healthcare concepts, including diagnosis, procedures, medical services, and equipment, into the healthcare industry's numerical coding system. Includes medical coders.","Medische dossiers van ziekenhuis- en kliniekpatiënten samenstellen, verwerken en bijhouden op een manier die consistent is met medische, administratieve, ethische, juridische en regelgevende vereisten van het gezondheidszorgsysteem. Classificeer medische en gezondheidszorgconcepten, waaronder diagnose, procedures, medische diensten en apparatuur, in het numerieke coderingssysteem van de gezondheidszorg. Inclusief medische coders.",Healthcare Practitioners and Technical Occupations,Zorgverleners en technische beroepen,29-2072.00
