Title,Job Zone,Description,Domain,O*NET-SOC Code,german_title,german_description,german_domain
Nurse Midwives,5,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",Healthcare Practitioners and Technical Occupations,29-1161.00,Hebammen im Krankenschwester,"Diagnose und Koordination aller Aspekte des Geburtsprozesses, entweder unabhängig oder als Teil eines Gesundheitsteams. Kann eine gutfralen gynäkologische Versorgung bieten. Muss eine spezialisierte, Hochschulunterrichtsausbildung haben.",Gesundheitspraktiker und technische Berufe
Nurse Practitioners,5,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",Healthcare Practitioners and Technical Occupations,29-1171.00,Krankenschwester Praktiker,"Diagnose und Behandlung akuter, episodischer oder chronischer Krankheit, unabhängig oder als Teil eines Gesundheitsteams. Kann sich auf Gesundheitsförderung und Krankheitsprävention konzentrieren. Kann Diagnosetests wie Laborarbeiten und X -Strahlen bestellen, durchführen oder interpretieren. Kann Medikamente verschreiben. Muss eingetragene Krankenschwestern sein, die eine spezielle Graduiertenausbildung haben.",Gesundheitspraktiker und technische Berufe
Audiologists,5,Assess and treat persons with hearing and related disorders. May fit hearing aids and provide auditory training. May perform research related to hearing problems.,Healthcare Practitioners and Technical Occupations,29-1181.00,Audiologen,Bewerten und behandeln Sie Personen mit Hör- und verwandter Störungen. Kann Hörgeräte einstellen und auditorische Schulungen anbieten. Kann Forschungen im Zusammenhang mit Hörproblemen durchführen.,Gesundheitspraktiker und technische Berufe
Anesthesiologists,5,"Administer anesthetics and analgesics for pain management prior to, during, or after surgery.",Healthcare Practitioners and Technical Occupations,29-1211.00,Anästhesisten,"Verwalten Sie Anästhetika und Analgetika für die Schmerzbehandlung vor, während oder nach der Operation.",Gesundheitspraktiker und technische Berufe
Cardiologists,5,"Diagnose, treat, manage, and prevent diseases or conditions of the cardiovascular system. May further subspecialize in interventional procedures (e.g., balloon angioplasty and stent placement), echocardiography, or electrophysiology.",Healthcare Practitioners and Technical Occupations,29-1212.00,Kardiologen,"Diagnose, Behandlung, Verwaltung und Vorbeugung von Krankheiten oder Bedingungen des kardiovaskulären Systems. Kann in interventionellen Verfahren (z. B. Ballonangioplastie und Stentplatzierung), Echokardiographie oder Elektrophysiologie weiter subspezialisiert werden.",Gesundheitspraktiker und technische Berufe
Dermatologists,5,"Diagnose and treat diseases relating to the skin, hair, and nails. May perform both medical and dermatological surgery functions.",Healthcare Practitioners and Technical Occupations,29-1213.00,Dermatologen,"Diagnose und Behandlung von Krankheiten in Bezug auf Haut, Haare und Nägel. Kann sowohl medizinische als auch diematologische Operationen ausführen.",Gesundheitspraktiker und technische Berufe
Emergency Medicine Physicians,5,"Make immediate medical decisions and act to prevent death or further disability. Provide immediate recognition, evaluation, care, stabilization, and disposition of patients. May direct emergency medical staff in an emergency department.",Healthcare Practitioners and Technical Occupations,29-1214.00,Notfallärzte,"Treffen Sie sofortige medizinische Entscheidungen und handeln, um den Tod oder eine weitere Behinderung zu verhindern. Bereitstellung sofortiger Anerkennung, Bewertung, Pflege, Stabilisierung und Disposition von Patienten. Kann das medizinische Notfallpersonal in einer Notaufnahme leiten.",Gesundheitspraktiker und technische Berufe
Family Medicine Physicians,5,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Healthcare Practitioners and Technical Occupations,29-1215.00,Ärzte für Familienmedizin,"Diagnose, behandeln und bieten vorbeugende Versorgung für Einzelpersonen und Familien in der gesamten Lebensdauer. Kann Patienten bei Bedarf für eine weitere Diagnose oder Behandlung an Spezialisten überweisen.",Gesundheitspraktiker und technische Berufe
General Internal Medicine Physicians,5,"Diagnose and provide nonsurgical treatment for a wide range of diseases and injuries of internal organ systems. Provide care mainly for adults and adolescents, and are based primarily in an outpatient care setting.",Healthcare Practitioners and Technical Occupations,29-1216.00,Allgemeine Innere Medizin Ärzte,Diagnose und Bereitstellung einer nicht -chirurgischen Behandlung für eine Vielzahl von Krankheiten und Verletzungen von inneren Organsystemen. Sorgen Sie sich hauptsächlich für Erwachsene und Jugendliche und basieren hauptsächlich auf einer ambulanten Versorgung.,Gesundheitspraktiker und technische Berufe
Neurologists,5,"Diagnose, manage, and treat disorders and diseases of the brain, spinal cord, and peripheral nerves, with a primarily nonsurgical focus.",Healthcare Practitioners and Technical Occupations,29-1217.00,Neurologen,"Diagnose, Verwaltung und Behandlung von Störungen und Krankheiten des Gehirns, des Rückenmarks und der peripheren Nerven mit einem hauptsächlich nicht -chirurgischen Fokus.",Gesundheitspraktiker und technische Berufe
Obstetricians and Gynecologists,5,"Provide medical care related to pregnancy or childbirth. Diagnose, treat, and help prevent diseases of women, particularly those affecting the reproductive system. May also provide general care to women. May perform both medical and gynecological surgery functions.",Healthcare Practitioners and Technical Occupations,29-1218.00,Geburtshelfer und Gynäkologen,"Bereitstellung medizinischer Versorgung im Zusammenhang mit Schwangerschaft oder Geburt. Diagnose, behandeln und helfen, Krankheiten von Frauen zu verhindern, insbesondere solche, die das Fortpflanzungssystem betreffen. Kann auch Frauen allgemein versorgen. Kann sowohl medizinische als auch gynäkologische Operationen ausführen.",Gesundheitspraktiker und technische Berufe
"Pediatricians, General",5,"Diagnose, treat, and help prevent diseases and injuries in children. May refer patients to specialists for further diagnosis or treatment, as needed.",Healthcare Practitioners and Technical Occupations,29-1221.00,"Kinderärzte, General","Diagnose, behandeln und helfen, Krankheiten und Verletzungen bei Kindern zu verhindern. Können Patienten nach Bedarf an Spezialisten zur weiteren Diagnose oder Behandlung überweisen.",Gesundheitspraktiker und technische Berufe
"Physicians, Pathologists",5,"Diagnose diseases and conduct lab tests using organs, body tissues, and fluids. Includes medical examiners.",Healthcare Practitioners and Technical Occupations,29-1222.00,"Ärzte, Pathologen","Diagnose Krankheiten und führen Sie Labortests unter Verwendung von Organen, Körpergeweben und Flüssigkeiten durch. Beinhaltet medizinische Untersucher.",Gesundheitspraktiker und technische Berufe
Psychiatrists,5,"Diagnose, treat, and help prevent mental disorders.",Healthcare Practitioners and Technical Occupations,29-1223.00,Psychiater,"Diagnostizieren, behandeln und helfen, psychische Störungen zu verhindern.",Gesundheitspraktiker und technische Berufe
Radiologists,5,"Diagnose and treat diseases and injuries using medical imaging techniques, such as x rays, magnetic resonance imaging (MRI), nuclear medicine, and ultrasounds. May perform minimally invasive medical procedures and tests.",Healthcare Practitioners and Technical Occupations,29-1224.00,Radiologen,"Diagnose und Behandlung von Krankheiten und Verletzungen mithilfe von medizinischen Bildgebungstechniken wie X -Strahlen, Magnetresonanztomographie (MRT), Kernmedizin und Ultraschall. Kann minimal invasive medizinische Verfahren und Tests durchführen.",Gesundheitspraktiker und technische Berufe
Allergists and Immunologists,5,"Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system.",Healthcare Practitioners and Technical Occupations,29-1229.01,Allergisten und Immunologen,"Diagnose, behandeln und helfen, allergische Erkrankungen und Krankheitsprozesse zu verhindern, die das Immunsystem beeinflussen.",Gesundheitspraktiker und technische Berufe
Hospitalists,5,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment.",Healthcare Practitioners and Technical Occupations,29-1229.02,Krankenhausärzte,"Stellen Sie vorwiegend in Umgebungen wie medizinische Stationen, Akuteinheiten, Intensivstationen, Rehabilitationszentren oder Notaufnahmen versorgt. Verwalten und koordinieren Sie die Patientenversorgung während der gesamten Behandlung.",Gesundheitspraktiker und technische Berufe
Urologists,5,"Diagnose, treat, and help prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands.",Healthcare Practitioners and Technical Occupations,29-1229.03,Urologen,"Diagnose, behandeln und helfen, gutartige und bösartige medizinische und chirurgische Störungen des Genitourinary und der Nierendrüsen zu verhindern.",Gesundheitspraktiker und technische Berufe
Physical Medicine and Rehabilitation Physicians,5,"Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation.",Healthcare Practitioners and Technical Occupations,29-1229.04,Physikalische Medizin und Rehabilitationsärzte,"Diagnose und Behandlungsstörungen, die eine Physiotherapie benötigen, um körperliche, geistige und berufliche Rehabilitation bereitzustellen.",Gesundheitspraktiker und technische Berufe
Preventive Medicine Physicians,5,"Apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death. May practice population-based medicine or diagnose and treat patients in the context of clinical health promotion and disease prevention.",Healthcare Practitioners and Technical Occupations,29-1229.05,Ärzte der Präventivmedizin,"Wenden Sie Kenntnisse über allgemeine Vorbeugung von Medizin und Fragen der öffentlichen Gesundheit an, um die Gesundheitsversorgung für Gruppen oder Einzelpersonen zu fördern und bei der Prävention oder Reduzierung des Risikos von Krankheiten, Verletzungen, Behinderungen oder Todesfällen zu helfen. Kann populationsbasierte Medizin oder Diagnose und Behandlung von Patienten im Rahmen der klinischen Gesundheitsförderung und der Prävention von Krankheiten praktizieren und behandeln.",Gesundheitspraktiker und technische Berufe
Sports Medicine Physicians,5,"Diagnose, treat, and help prevent injuries that occur during sporting events, athletic training, and physical activities.",Healthcare Practitioners and Technical Occupations,29-1229.06,Sportmediziner Ärzte,"Diagnose, behandeln und helfen, Verletzungen zu verhindern, die bei Sportveranstaltungen, Sporttraining und körperlichen Aktivitäten auftreten.",Gesundheitspraktiker und technische Berufe
"Ophthalmologists, Except Pediatric",5,Diagnose and perform surgery to treat and help prevent disorders and diseases of the eye. May also provide vision services for treatment including glasses and contacts.,Healthcare Practitioners and Technical Occupations,29-1241.00,Augenärzte mit Ausnahme der Kinder,"Diagnose und führen Sie eine Operation durch, um Störungen und Auge zu behandeln und zu verhindern. Kann auch Visionsdienste für die Behandlung anbieten, einschließlich Brillen und Kontakte.",Gesundheitspraktiker und technische Berufe
"Orthopedic Surgeons, Except Pediatric",5,Diagnose and perform surgery to treat and prevent rheumatic and other diseases in the musculoskeletal system.,Healthcare Practitioners and Technical Occupations,29-1242.00,Orthopädische Chirurgen außer pädiatrisch,"Diagnose und führen Sie eine Operation durch, um rheumatische und andere Krankheiten im Bewegungsapparat zu behandeln und zu verhindern.",Gesundheitspraktiker und technische Berufe
Pediatric Surgeons,5,"Diagnose and perform surgery to treat fetal abnormalities and birth defects, diseases, and injuries in fetuses, premature and newborn infants, children, and adolescents. Includes all pediatric surgical specialties and subspecialties.",Healthcare Practitioners and Technical Occupations,29-1243.00,Kinderchirurgen,"Diagnose und führen Sie eine Operation durch, um fetale Anomalien und Geburtsfehler, Krankheiten und Verletzungen bei Feten, Frühgeborenen und Neugeborenen, Kindern und Jugendlichen zu behandeln. Enthält alle pädiatrischen chirurgischen Spezialitäten und Unterspezialitäten.",Gesundheitspraktiker und technische Berufe
Acupuncturists,5,"Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies.",Healthcare Practitioners and Technical Occupations,29-1291.00,Akupunkteuristen,"Diagnose, behandeln und verhindern Sie Störungen, indem bestimmte Akupunkturpunkte im Körper unter Verwendung von Akupunkturnadeln stimulieren. Kann auch Tassen, Ernährungszusätze, therapeutische Massage, Akupressur und andere alternative Gesundheitstherapien verwenden.",Gesundheitspraktiker und technische Berufe
Dental Hygienists,3,Administer oral hygiene care to patients. Assess patient oral hygiene problems or needs and maintain health records. Advise patients on oral health maintenance and disease prevention. May provide advanced care such as providing fluoride treatment or administering topical anesthesia.,Healthcare Practitioners and Technical Occupations,29-1292.00,Zahnhygieniker,"Verwalten Sie die Mundhygieneversorgung an Patienten. Bewerten Sie die Mundhygieneprobleme oder -bedürfnisse von Patienten und pflegen Sie die Gesundheitsakten. Beraten Sie die Patienten zur Erhaltung der Mundgesundheit und zur Prävention von Krankheiten. Kann eine fortgeschrittene Versorgung bieten, z. B. die Bereitstellung von Fluoridbehandlung oder die Verabreichung der topischen Anästhesie.",Gesundheitspraktiker und technische Berufe
Naturopathic Physicians,5,"Diagnose, treat, and help prevent diseases using a system of practice that is based on the natural healing capacity of individuals. May use physiological, psychological or mechanical methods. May also use natural medicines, prescription or legend drugs, foods, herbs, or other natural remedies.",Healthcare Practitioners and Technical Occupations,29-1299.01,Naturheilkunde Ärzte,"Diagnose, behandeln und helfen, Krankheiten mithilfe eines Praxissystems zu verhindern, das auf der natürlichen Heilungsfähigkeit des Einzelnen basiert. Kann physiologische, psychologische oder mechanische Methoden anwenden. Kann auch natürliche Medikamente, verschreibungspflichtige oder legende Medikamente, Lebensmittel, Kräuter oder andere natürliche Mittel verwenden.",Gesundheitspraktiker und technische Berufe
Orthoptists,5,Diagnose and treat visual system disorders such as binocular vision and eye movement impairments.,Healthcare Practitioners and Technical Occupations,29-1299.02,Orthoptisten,Diagnose und Behandlung visueller Systemstörungen wie Fernglasspise und Augenbewegungen.,Gesundheitspraktiker und technische Berufe
Medical and Clinical Laboratory Technologists,4,"Perform complex medical laboratory tests for diagnosis, treatment, and prevention of disease. May train or supervise staff.",Healthcare Practitioners and Technical Occupations,29-2011.00,Medizinische und klinische Labortechnologen,"Führen Sie komplexe medizinische Labortests zur Diagnose, Behandlung und Prävention von Krankheiten durch. Kann das Personal trainieren oder überwachen.",Gesundheitspraktiker und technische Berufe
Cytogenetic Technologists,4,"Analyze chromosomes or chromosome segments found in biological specimens, such as amniotic fluids, bone marrow, solid tumors, and blood to aid in the study, diagnosis, classification, or treatment of inherited or acquired genetic diseases. Conduct analyses through classical cytogenetic, fluorescent in situ hybridization (FISH) or array comparative genome hybridization (aCGH) techniques.",Healthcare Practitioners and Technical Occupations,29-2011.01,Zytogenetische Technologen,"Analysieren Sie Chromosomen oder Chromosomensegmente, die in biologischen Proben wie Fruchtwasser, Knochenmark, soliden Tumoren und Blut vorhanden sind, um die Studie, die Diagnose, Klassifizierung oder Behandlung von erbten oder erworbenen genetischen Erkrankungen zu unterstützen. Führen Sie Analysen durch klassische zytogenetische, fluoreszierende In -situ -Hybridisierung (FISH) oder Array Vergleichende Genomhybridisierung (ACGH) -Techniken durch.",Gesundheitspraktiker und technische Berufe
Cytotechnologists,5,"Stain, mount, and study cells to detect evidence of cancer, hormonal abnormalities, and other pathological conditions following established standards and practices.",Healthcare Practitioners and Technical Occupations,29-2011.02,Zytotechnologen,"Färben, montieren und untersuchen Zellen, um Hinweise auf Krebs, hormonelle Anomalien und andere pathologische Erkrankungen nach festgelegten Standards und Praktiken nachzuweisen.",Gesundheitspraktiker und technische Berufe
Histotechnologists,4,Apply knowledge of health and disease causes to evaluate new laboratory techniques and procedures to examine tissue samples. Process and prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists. May solve technical or instrument problems or assist with research studies.,Healthcare Practitioners and Technical Occupations,29-2011.04,Histotechnologen,"Wenden Sie Kenntnisse über Gesundheit und Krankheit an, um neue Labortechniken und -verfahren zur Untersuchung von Gewebeproben zu bewerten. Prozess und herstellen Sie histologische Objektträger aus Gewebeschnitten für die mikroskopische Untersuchung und Diagnose durch Pathologen. Kann technische oder Instrumentenprobleme lösen oder bei Forschungsstudien helfen.",Gesundheitspraktiker und technische Berufe
Medical and Clinical Laboratory Technicians,3,"Perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the supervision of a medical technologist.",Healthcare Practitioners and Technical Occupations,29-2012.00,Medizinische und klinische Labortechniker,"Führen Sie routinemäßige medizinische Labortests für die Diagnose, Behandlung und Prävention von Krankheiten durch. Kann unter der Aufsicht eines medizinischen Technologen arbeiten.",Gesundheitspraktiker und technische Berufe
Histology Technicians,3,Prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists. May assist with research studies.,Healthcare Practitioners and Technical Occupations,29-2012.01,Histologie -Techniker,Bereiten Sie histologische Objektträger aus Gewebeschnitten zur mikroskopischen Untersuchung und Diagnose durch Pathologen vor. Kann bei Forschungsstudien helfen.,Gesundheitspraktiker und technische Berufe
Cardiovascular Technologists and Technicians,3,"Conduct tests on pulmonary or cardiovascular systems of patients for diagnostic, therapeutic, or research purposes. May conduct or assist in electrocardiograms, cardiac catheterizations, pulmonary functions, lung capacity, and similar tests.",Healthcare Practitioners and Technical Occupations,29-2031.00,Herz -Kreislauf -Technologen und -Techniker,"Durchführen Sie Tests zu Lungen- oder Herz -Kreislauf -Systemen von Patienten für diagnostische, therapeutische oder Forschungszwecke. Kann Elektrokardiogramme, Herzkatheterisierungen, Lungenfunktionen, Lungenkapazität und ähnliche Tests durchführen oder unterstützen.",Gesundheitspraktiker und technische Berufe
Diagnostic Medical Sonographers,3,Produce ultrasonic recordings of internal organs for use by physicians. Includes vascular technologists.,Healthcare Practitioners and Technical Occupations,29-2032.00,Diagnostische medizinische Sonographen,Erstellen Sie Ultraschallaufnahmen von internen Organen zur Verwendung durch Ärzte. Beinhaltet Gefäßtechnologen.,Gesundheitspraktiker und technische Berufe
Nuclear Medicine Technologists,3,"Prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment. Prepare stock solutions of radioactive materials and calculate doses to be administered by radiologists. Subject patients to radiation. Execute blood volume, red cell survival, and fat absorption studies following standard laboratory techniques.",Healthcare Practitioners and Technical Occupations,29-2033.00,Nuklearmedizin -Technologen,"Bereiten Sie radioaktive Isotope in therapeutischen, diagnostischen und Tracer -Studien mit einer Vielzahl von Radioisotopengeräten vor, verabreichen und messen Sie sie. Bereiten Sie Aktienlösungen von radioaktiven Materialien vor und berechnen Sie die von Radiologen verabreichten Dosen. Probandenpatienten von Strahlung. Führen Sie das Blutvolumen, das Überleben der roten Zellen und die Fettabsorptionsstudien nach Standard -Labortechniken aus.",Gesundheitspraktiker und technische Berufe
Radiologic Technologists and Technicians,3,Take x-rays and CAT scans or administer nonradioactive materials into patient's bloodstream for diagnostic or research purposes. Includes radiologic technologists and technicians who specialize in other scanning modalities.,Healthcare Practitioners and Technical Occupations,29-2034.00,Radiologische Technologen und Techniker,"Nehmen Sie Röntgen- und Katzen-Scans oder verabreichen Sie nicht-radioaktive Materialien für diagnostische oder Forschungszwecke in den Blutkreislauf des Patienten. Enthält radiologische Technologen und Techniker, die sich auf andere Scanmodalitäten spezialisiert haben.",Gesundheitspraktiker und technische Berufe
Magnetic Resonance Imaging Technologists,3,"Operate Magnetic Resonance Imaging (MRI) scanners. Monitor patient safety and comfort, and view images of area being scanned to ensure quality of pictures. May administer gadolinium contrast dosage intravenously. May interview patient, explain MRI procedures, and position patient on examining table. May enter into the computer data such as patient history, anatomical area to be scanned, orientation specified, and position of entry.",Healthcare Practitioners and Technical Occupations,29-2035.00,Magnetresonanztechnologen Magnetresonanztechnologen,"Betätigen Sie Magnetresonanztomographie (MRT) Scanner. Überwachen Sie die Sicherheit und den Komfort der Patienten und sehen Sie sich Bilder des Bereichs an, das gescannt wird, um die Qualität der Bilder zu gewährleisten. Kann intravenös Gadoliniumkontrastdosis verabreichen. Kann Patient befragen, MRT -Verfahren erklären und den Patienten auf der Untersuchung der Tabelle positionieren. Können in die Computerdaten wie Patientenanamnese, anatomischer Bereich eingehen, der gescannt werden soll, die Ausrichtung angegeben und Eintrittsposition.",Gesundheitspraktiker und technische Berufe
Medical Dosimetrists,3,"Generate radiation treatment plans, develop radiation dose calculations, communicate and supervise the treatment plan implementation, and consult with members of radiation oncology team.",Healthcare Practitioners and Technical Occupations,29-2036.00,Medizinische Dosimetristen,"Generieren Sie Strahlungsbehandlungspläne, entwickeln Sie Strahlendosisberechnungen, kommunizieren und überwachen Sie die Implementierung des Behandlungsplans und konsultieren Sie Mitglieder des Strahlungs -Onkologie -Teams.",Gesundheitspraktiker und technische Berufe
Emergency Medical Technicians,3,Assess injuries and illnesses and administer basic emergency medical care. May transport injured or sick persons to medical facilities.,Healthcare Practitioners and Technical Occupations,29-2042.00,Notfalltechniker,Bewerten Sie Verletzungen und Krankheiten und verabreichen Sie die grundlegende medizinische Notfallversorgung. Kann verletzte oder kranke Personen in medizinische Einrichtungen transportieren.,Gesundheitspraktiker und technische Berufe
Paramedics,3,"Administer basic or advanced emergency medical care and assess injuries and illnesses. May administer medication intravenously, use equipment such as EKGs, or administer advanced life support to sick or injured individuals.",Healthcare Practitioners and Technical Occupations,29-2043.00,Sanitäter,"Grundlegender oder fortgeschrittener medizinischer Notfallversorgung und Bewertung von Verletzungen und Krankheiten. Kann intravenös Medikamente verabreichen, Geräte wie EKGs verwenden oder kranke oder verletzte Personen fortgeschrittene Lebensunterstützung verabreichen.",Gesundheitspraktiker und technische Berufe
Dietetic Technicians,3,"Assist in the provision of food service and nutritional programs, under the supervision of a dietitian. May plan and produce meals based on established guidelines, teach principles of food and nutrition, or counsel individuals.",Healthcare Practitioners and Technical Occupations,29-2051.00,Diätetische Techniker,"Unterstützung bei der Bereitstellung von Food -Service und Ernährungsprogrammen unter der Aufsicht eines Ernährungsberaters. Kann Mahlzeiten planen und produzieren, die auf festgelegten Richtlinien basieren, Grundsätze der Lebensmittel und Ernährung lehren oder Personen beraten.",Gesundheitspraktiker und technische Berufe
Pharmacy Technicians,3,"Prepare medications under the direction of a pharmacist. May measure, mix, count out, label, and record amounts and dosages of medications according to prescription orders.",Healthcare Practitioners and Technical Occupations,29-2052.00,Apothekentechniker,"Bereiten Sie Medikamente unter der Leitung eines Apothekers vor. Kann gemessen, mischen, zählen, beschriften und aufzeichnen und Medikamente gemäß verschreibungspflichtigen Aufträgen aufnehmen.",Gesundheitspraktiker und technische Berufe
Psychiatric Technicians,3,"Care for individuals with mental or emotional conditions or disabilities, following the instructions of physicians or other health practitioners. Monitor patients' physical and emotional well-being and report to medical staff. May participate in rehabilitation and treatment programs, help with personal hygiene, and administer oral or injectable medications.",Healthcare Practitioners and Technical Occupations,29-2053.00,Psychiatrische Techniker,"Betreuung von Personen mit geistigen oder emotionalen Bedingungen oder Behinderungen, gemäß den Anweisungen von Ärzten oder anderen Gesundheitspraktikern. Überwachen Sie das körperliche und emotionale Wohlbefinden der Patienten und berichten Sie an das medizinische Personal. Kann an Rehabilitations- und Behandlungsprogrammen teilnehmen, bei der persönlichen Hygiene helfen und orale oder injizierbare Medikamente verabreichen.",Gesundheitspraktiker und technische Berufe
Surgical Technologists,3,"Assist in operations, under the supervision of surgeons, registered nurses, or other surgical personnel. May help set up operating room, prepare and transport patients for surgery, adjust lights and equipment, pass instruments and other supplies to surgeons and surgeons' assistants, hold retractors, cut sutures, and help count sponges, needles, supplies, and instruments.",Healthcare Practitioners and Technical Occupations,29-2055.00,Chirurgische Technologen,"Unterstützung bei der Operation unter der Aufsicht von Chirurgen, registrierten Krankenschwestern oder anderen chirurgischen Personal. Kann helfen, Operationssaal einzurichten, Patienten vorzubereiten und zu transportieren, um Leuchten und Ausrüstung anzupassen, Instrumente und andere Vorräte an Chirurgen und Chirurgen Assistenten zu bestehen, Retraktoren zu halten, Nähte zu schneiden und Schwämme, Nadeln, Vorräte und Instrumente zu zählen.",Gesundheitspraktiker und technische Berufe
Veterinary Technologists and Technicians,3,"Perform medical tests in a laboratory environment for use in the treatment and diagnosis of diseases in animals. Prepare vaccines and serums for prevention of diseases. Prepare tissue samples, take blood samples, and execute laboratory tests, such as urinalysis and blood counts. Clean and sterilize instruments and materials and maintain equipment and machines. May assist a veterinarian during surgery.",Healthcare Practitioners and Technical Occupations,29-2056.00,Tierärzte und Techniker,"Führen Sie medizinische Tests in einer Laborumgebung zur Verwendung bei der Behandlung und Diagnose von Krankheiten bei Tieren durch. Bereiten Sie Impfstoffe und Seren zur Vorbeugung von Krankheiten vor. Bereiten Sie Gewebeproben vor, nehmen Sie Blutproben und führen Sie Labortests wie Urinanalyse und Blutzahlen durch. Reinigen und sterilisieren Sie Instrumente und Materialien und pflegen Sie Geräte und Maschinen. Kann einem Tierarzt während der Operation helfen.",Gesundheitspraktiker und technische Berufe
Ophthalmic Medical Technicians,3,"Assist ophthalmologists by performing ophthalmic clinical functions. May administer eye exams, administer eye medications, and instruct the patient in care and use of corrective lenses.",Healthcare Practitioners and Technical Occupations,29-2057.00,Ophthalmic Medical Technicians,"Unterstützen Sie Ophthalmologen, indem Sie ophthalmische klinische Funktionen ausführen. Kann Augenuntersuchungen durchführen, Augenmedikamente verabreichen und den Patienten bei der Pflege und Verwendung von Korrekturlinsen anweisen.",Gesundheitspraktiker und technische Berufe
Licensed Practical and Licensed Vocational Nurses,3,"Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required.",Healthcare Practitioners and Technical Occupations,29-2061.00,Lizenzierte praktische und lizenzierte Berufsschwestern,"Versorgung von kranken, verletzten oder überzeugenden Patienten oder Menschen mit Behinderungen in Krankenhäusern, Pflegeheimen, Kliniken, Privathäusern, Gruppenhäusern und ähnlichen Institutionen. Kann unter der Aufsicht einer Krankenschwester arbeiten. Lizenzierung erforderlich.",Gesundheitspraktiker und technische Berufe
Medical Records Specialists,3,"Compile, process, and maintain medical records of hospital and clinic patients in a manner consistent with medical, administrative, ethical, legal, and regulatory requirements of the healthcare system. Classify medical and healthcare concepts, including diagnosis, procedures, medical services, and equipment, into the healthcare industry's numerical coding system. Includes medical coders.",Healthcare Practitioners and Technical Occupations,29-2072.00,Medizinische Aufzeichnungen Spezialisten,"Erstellen, verarbeiten und pflegen Sie medizinische Unterlagen von Krankenhaus- und Klinikpatienten in einer Weise, die mit medizinischen, administrativen, ethischen, rechtlichen und regulatorischen Anforderungen des Gesundheitssystems übereinstimmt. Klassifizieren Sie medizinische und medizinische Konzepte, einschließlich Diagnose, Verfahren, medizinischen Dienstleistungen und Geräte, in das numerische Codierungssystem der Gesundheitsbranche. Beinhaltet medizinische Codierer.",Gesundheitspraktiker und technische Berufe
"Opticians, Dispensing",3,"Design, measure, fit, and adapt lenses and frames for client according to written optical prescription or specification. Assist client with inserting, removing, and caring for contact lenses. Assist client with selecting frames. Measure customer for size of eyeglasses and coordinate frames with facial and eye measurements and optical prescription. Prepare work order for optical laboratory containing instructions for grinding and mounting lenses in frames. Verify exactness of finished lens spectacles. Adjust frame and lens position to fit client. May shape or reshape frames. Includes contact lens opticians.",Healthcare Practitioners and Technical Occupations,29-2081.00,"Optiker, verzichten","Entwerfen, Messen, Anpassungen und Anpassungslinsen und Frames für den Kunden gemäß schriftlicher optischer Rezept oder Spezifikation. Unterstützen Sie den Kunden beim Einfügen, Entfernen und Betrachten der Kontaktlinsen. Unterstützen Sie den Kunden bei der Auswahl von Frames. Messen Sie den Kunden für die Größe der Brille und koordinieren Sie Frames mit Gesichts- und Augenmessungen und optischem Rezept. Bereiten Sie Arbeitsauftrag für optisches Labor mit Anweisungen zum Schleifen und Befestigungslinsen in Frames vor. Überprüfen Sie die Genauigkeit von fertigen Linsenbraten. Passen Sie die Rahmen- und Linsenposition an den Client ein. Kann Frames formen oder umformen. Beinhaltet Kontaktlinsen -Optiker.",Gesundheitspraktiker und technische Berufe
Orthotists and Prosthetists,5,"Design, measure, fit, and adapt orthopedic braces, appliances or prostheses, such as limbs or facial parts for patients with disabling conditions.",Healthcare Practitioners and Technical Occupations,29-2091.00,Orthotisten und Prothetiker,"Entwerfen, messen, passen und passen Sie orthopädische Klammern, Geräte oder Prothesen wie Gliedmaßen oder Gesichtsteile für Patienten mit Behinderungsbedingungen an.",Gesundheitspraktiker und technische Berufe
