Title,Job Zone,Description,Domain,O*NET-SOC Code,french_title,french_description,french_domain
Exercise Physiologists,4,"Assess, plan, or implement fitness programs that include exercise or physical activities such as those designed to improve cardiorespiratory function, body composition, muscular strength, muscular endurance, or flexibility.",Healthcare Practitioners and Technical Occupations,29-1128.00,Physiologistes de l'exercice,"Évaluer, planifier ou mettre en œuvre des programmes de fitness qui incluent l'exercice ou les activités physiques telles que celles conçues pour améliorer la fonction cardiorespiratoire, la composition corporelle, la force musculaire, l'endurance musculaire ou la flexibilité.",Praticiens de la santé et professions techniques
Art Therapists,5,"Plan or conduct art therapy sessions or programs to improve clients' physical, cognitive, or emotional well-being.",Healthcare Practitioners and Technical Occupations,29-1129.01,Art-thérapeutes,"Planifier ou organiser des séances ou des programmes d'art-thérapie pour améliorer le bien-être physique, cognitif ou émotionnel des clients.",Praticiens de la santé et professions techniques
Music Therapists,4,"Plan, organize, direct, or assess clinical and evidenced-based music therapy interventions to positively influence individuals' physical, psychological, cognitive, or behavioral status.",Healthcare Practitioners and Technical Occupations,29-1129.02,Musicothérapeute,"Planifier, organiser, diriger ou évaluer les interventions de musicothérapie cliniques et mises en évidence pour influencer positivement le statut physique, psychologique, cognitif ou comportemental des individus.",Praticiens de la santé et professions techniques
Veterinarians,5,"Diagnose, treat, or research diseases and injuries of animals. Includes veterinarians who conduct research and development, inspect livestock, or care for pets and companion animals.",Healthcare Practitioners and Technical Occupations,29-1131.00,Vétérinaires,"Diagnostiquer, traiter ou rechercher les maladies et les blessures des animaux. Comprend des vétérinaires qui effectuent des recherches et du développement, inspecter le bétail ou prendre soin des animaux de compagnie et des animaux de compagnie.",Praticiens de la santé et professions techniques
Registered Nurses,4,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required.",Healthcare Practitioners and Technical Occupations,29-1141.00,Infirmières autorisées,"Évaluez les problèmes de santé des patients et les besoins, élaborer et mettre en œuvre des plans de soins infirmiers et maintenir les dossiers médicaux. Administrer des soins infirmiers aux patients malades, blessés, convalescents ou handicapés. Peut conseiller les patients sur le maintien de la santé et la prévention des maladies ou fournir une gestion des cas. Licence ou inscription requise.",Praticiens de la santé et professions techniques
Acute Care Nurses,3,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",Healthcare Practitioners and Technical Occupations,29-1141.01,Infirmières en soins actifs,"Fournir des soins infirmiers avancés aux patients souffrant de conditions aiguës telles que les crises cardiaques, le syndrome de détresse respiratoire ou le choc. Peut prendre soin des patients pré et postopératoires ou effectuer des procédures diagnostiques avancées, invasives ou thérapeutiques.",Praticiens de la santé et professions techniques
Advanced Practice Psychiatric Nurses,5,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",Healthcare Practitioners and Technical Occupations,29-1141.02,Pratique avancée infirmières psychiatriques,"Évaluer, diagnostiquer et traiter les individus et les familles souffrant de troubles de la santé mentale ou de la toxicomanie ou le potentiel de tels troubles. Appliquer des activités thérapeutiques, y compris la prescription de médicaments, les réglementations de l'État et l'administration de la psychothérapie.",Praticiens de la santé et professions techniques
Critical Care Nurses,4,Provide specialized nursing care for patients in critical or coronary care units.,Healthcare Practitioners and Technical Occupations,29-1141.03,Infirmières en soins intensifs,Fournir des soins infirmiers spécialisés aux patients en unités de soins critiques ou coronariens.,Praticiens de la santé et professions techniques
Clinical Nurse Specialists,5,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",Healthcare Practitioners and Technical Occupations,29-1141.04,Infirmière clinique spécialisée,"Direct personnel infirmier dans la prestation de soins aux patients dans un cadre de pratique clinique, comme un hôpital, un hospice, une clinique ou un domicile. Assurer l'adhésion aux politiques cliniques établies, aux protocoles, aux réglementations et aux normes.",Praticiens de la santé et professions techniques
Nurse Anesthetists,5,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",Healthcare Practitioners and Technical Occupations,29-1151.00,Infirmières anesthésistes,"Administrer l'anesthésie, surveiller les signes vitaux du patient et superviser la récupération du patient après l'anesthésie. Peut aider les anesthésiologistes, les chirurgiens, d'autres médecins ou les dentistes. Doit être des infirmières autorisées qui ont spécialisé des études supérieures.",Praticiens de la santé et professions techniques
Nurse Midwives,5,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",Healthcare Practitioners and Technical Occupations,29-1161.00,Infirmière sages-femmes,"Diagnostiquer et coordonner tous les aspects du processus de naissance, soit indépendamment, soit dans le cadre d'une équipe de soins de santé. Peut fournir des soins gynécologiques bien-femme. Doit avoir une formation infirmière spécialisée et diplômée.",Praticiens de la santé et professions techniques
Nurse Practitioners,5,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",Healthcare Practitioners and Technical Occupations,29-1171.00,Infirmières praticiennes,"Diagnostiquer et traiter une maladie aiguë, épisodique ou chronique, indépendamment ou dans le cadre d'une équipe de soins de santé. Peut se concentrer sur la promotion de la santé et la prévention des maladies. Peut commander, effectuer ou interpréter des tests de diagnostic tels que les travaux de laboratoire et les rayons X. Peut prescrire des médicaments. Doit être des infirmières autorisées qui ont spécialisé des études supérieures.",Praticiens de la santé et professions techniques
Audiologists,5,Assess and treat persons with hearing and related disorders. May fit hearing aids and provide auditory training. May perform research related to hearing problems.,Healthcare Practitioners and Technical Occupations,29-1181.00,Audiologistes,Évaluer et traiter les personnes atteintes de troubles auditifs et connexes. Peut s'adapter aux aides auditives et fournir une formation auditive. Peut effectuer des recherches liées aux problèmes d'audition.,Praticiens de la santé et professions techniques
Anesthesiologists,5,"Administer anesthetics and analgesics for pain management prior to, during, or after surgery.",Healthcare Practitioners and Technical Occupations,29-1211.00,Anesthésiologistes,"Administrer des anesthésiques et des analgésiques pour la gestion de la douleur avant, pendant ou après la chirurgie.",Praticiens de la santé et professions techniques
Cardiologists,5,"Diagnose, treat, manage, and prevent diseases or conditions of the cardiovascular system. May further subspecialize in interventional procedures (e.g., balloon angioplasty and stent placement), echocardiography, or electrophysiology.",Healthcare Practitioners and Technical Occupations,29-1212.00,Cardiologistes,"Diagnostiquer, traiter, gérer et prévenir les maladies ou les conditions du système cardiovasculaire. Peut en outre subspécialise les procédures interventionnelles (par exemple, angioplastie par ballon et placement de stent), échocardiographie ou électrophysiologie.",Praticiens de la santé et professions techniques
Dermatologists,5,"Diagnose and treat diseases relating to the skin, hair, and nails. May perform both medical and dermatological surgery functions.",Healthcare Practitioners and Technical Occupations,29-1213.00,Dermatologues,"Diagnostiquer et traiter les maladies relatives à la peau, aux cheveux et aux ongles. Peut remplir des fonctions de chirurgie médicale et dermatologique.",Praticiens de la santé et professions techniques
Emergency Medicine Physicians,5,"Make immediate medical decisions and act to prevent death or further disability. Provide immediate recognition, evaluation, care, stabilization, and disposition of patients. May direct emergency medical staff in an emergency department.",Healthcare Practitioners and Technical Occupations,29-1214.00,Médecins en médecine d'urgence,"Prendre des décisions médicales immédiates et agir pour prévenir le décès ou un handicap supplémentaire. Fournir une reconnaissance immédiate, une évaluation, des soins, une stabilisation et une disposition des patients. Peut diriger le personnel médical d'urgence dans un service d'urgence.",Praticiens de la santé et professions techniques
Family Medicine Physicians,5,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Healthcare Practitioners and Technical Occupations,29-1215.00,Médecins en médecine,"Diagnostiquer, traiter et fournir des soins préventifs aux individus et aux familles de toute la vie. Peut référer les patients à des spécialistes en cas de besoin pour un diagnostic ou un traitement supplémentaire.",Praticiens de la santé et professions techniques
General Internal Medicine Physicians,5,"Diagnose and provide nonsurgical treatment for a wide range of diseases and injuries of internal organ systems. Provide care mainly for adults and adolescents, and are based primarily in an outpatient care setting.",Healthcare Practitioners and Technical Occupations,29-1216.00,Médecins en médecine interne générale,"Diagnostiquer et fournir un traitement non chirurgical pour un large éventail de maladies et de blessures de systèmes d'organes internes. Fournir des soins principalement pour les adultes et les adolescents, et sont basés principalement dans un cadre de soins ambulatoires.",Praticiens de la santé et professions techniques
Neurologists,5,"Diagnose, manage, and treat disorders and diseases of the brain, spinal cord, and peripheral nerves, with a primarily nonsurgical focus.",Healthcare Practitioners and Technical Occupations,29-1217.00,Neurologues,"Diagnostiquer, gérer et traiter les troubles et les maladies du cerveau, de la moelle épinière et des nerfs périphériques, avec une focalisation principalement non chirurgicale.",Praticiens de la santé et professions techniques
Obstetricians and Gynecologists,5,"Provide medical care related to pregnancy or childbirth. Diagnose, treat, and help prevent diseases of women, particularly those affecting the reproductive system. May also provide general care to women. May perform both medical and gynecological surgery functions.",Healthcare Practitioners and Technical Occupations,29-1218.00,Obstétriciens et gynécologues,"Fournir des soins médicaux liés à la grossesse ou à l'accouchement. Diagnostiquer, traiter et aider à prévenir les maladies des femmes, en particulier celles affectant le système reproducteur. Peut également fournir des soins généraux aux femmes. Peut remplir des fonctions de chirurgie médicale et gynécologique.",Praticiens de la santé et professions techniques
"Pediatricians, General",5,"Diagnose, treat, and help prevent diseases and injuries in children. May refer patients to specialists for further diagnosis or treatment, as needed.",Healthcare Practitioners and Technical Occupations,29-1221.00,"Pédiatres, général","Diagnostiquer, traiter et aider à prévenir les maladies et les blessures chez les enfants. Peut référer les patients à des spécialistes pour un diagnostic ou un traitement supplémentaire, au besoin.",Praticiens de la santé et professions techniques
"Physicians, Pathologists",5,"Diagnose diseases and conduct lab tests using organs, body tissues, and fluids. Includes medical examiners.",Healthcare Practitioners and Technical Occupations,29-1222.00,"Médecins, pathologistes","Diagnostiquer les maladies et effectuer des tests de laboratoire à l'aide d'organes, de tissus corporels et de liquides. Comprend des médecins légistes.",Praticiens de la santé et professions techniques
Psychiatrists,5,"Diagnose, treat, and help prevent mental disorders.",Healthcare Practitioners and Technical Occupations,29-1223.00,Psychiatres,"Diagnostiquer, traiter et aider à prévenir les troubles mentaux.",Praticiens de la santé et professions techniques
Radiologists,5,"Diagnose and treat diseases and injuries using medical imaging techniques, such as x rays, magnetic resonance imaging (MRI), nuclear medicine, and ultrasounds. May perform minimally invasive medical procedures and tests.",Healthcare Practitioners and Technical Occupations,29-1224.00,Radiologues,"Diagnostiquer et traiter les maladies et les blessures à l'aide de techniques d'imagerie médicale, telles que les rayons X, l'imagerie par résonance magnétique (IRM), la médecine nucléaire et les ultrasons. Peut effectuer des procédures médicales et des tests médicalement invasifs.",Praticiens de la santé et professions techniques
Allergists and Immunologists,5,"Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system.",Healthcare Practitioners and Technical Occupations,29-1229.01,Allergistes et immunologues,"Diagnostiquer, traiter et aider à prévenir les maladies allergiques et les processus pathologiques affectant le système immunitaire.",Praticiens de la santé et professions techniques
Hospitalists,5,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment.",Healthcare Practitioners and Technical Occupations,29-1229.02,Hospitalistes,"Fournir des soins aux patients hospitalisés principalement dans des milieux tels que les services médicaux, les unités de soins actifs, les unités de soins intensifs, les centres de réadaptation ou les salles d'urgence. Gérer et coordonner les soins aux patients tout au long du traitement.",Praticiens de la santé et professions techniques
Urologists,5,"Diagnose, treat, and help prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands.",Healthcare Practitioners and Technical Occupations,29-1229.03,Urologues,"Diagnostiquer, traiter et aider à prévenir les troubles médicaux et chirurgicaux bénins et malins du système génito-urinaire et des glandes rénales.",Praticiens de la santé et professions techniques
Physical Medicine and Rehabilitation Physicians,5,"Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation.",Healthcare Practitioners and Technical Occupations,29-1229.04,Médecins en médecine physique et en réadaptation,"Diagnostiquer et traiter les troubles nécessitant une physiothérapie pour fournir une réadaptation physique, mentale et professionnelle.",Praticiens de la santé et professions techniques
Preventive Medicine Physicians,5,"Apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death. May practice population-based medicine or diagnose and treat patients in the context of clinical health promotion and disease prevention.",Healthcare Practitioners and Technical Occupations,29-1229.05,Médecins en médecine préventive,"Appliquez des connaissances sur la médecine préventive générale et les problèmes de santé publique pour promouvoir les soins de santé auprès des groupes ou des individus, et aide à la prévention ou à la réduction du risque de maladie, de blessures, de handicap ou de décès. Peut pratiquer la médecine basée sur la population ou diagnostiquer et traiter les patients dans le contexte de la promotion clinique de la santé et de la prévention des maladies.",Praticiens de la santé et professions techniques
Sports Medicine Physicians,5,"Diagnose, treat, and help prevent injuries that occur during sporting events, athletic training, and physical activities.",Healthcare Practitioners and Technical Occupations,29-1229.06,Médecins en médecine du sport,"Diagnostiquer, traiter et aider à prévenir les blessures qui surviennent lors des événements sportifs, de l'entraînement sportif et des activités physiques.",Praticiens de la santé et professions techniques
"Ophthalmologists, Except Pediatric",5,Diagnose and perform surgery to treat and help prevent disorders and diseases of the eye. May also provide vision services for treatment including glasses and contacts.,Healthcare Practitioners and Technical Occupations,29-1241.00,"Ophtalmologistes, sauf pédiatrie","Diagnostiquer et effectuer une intervention chirurgicale pour traiter et aider à prévenir les troubles et les maladies de l'œil. Peut également fournir des services de vision pour un traitement, y compris des lunettes et des contacts.",Praticiens de la santé et professions techniques
"Orthopedic Surgeons, Except Pediatric",5,Diagnose and perform surgery to treat and prevent rheumatic and other diseases in the musculoskeletal system.,Healthcare Practitioners and Technical Occupations,29-1242.00,"Chirurgiens orthopédistes, sauf pédiatrie",Diagnostiquer et effectuer une intervention chirurgicale pour traiter et prévenir les maladies rhumatismales et autres dans le système musculo-squelettique.,Praticiens de la santé et professions techniques
Pediatric Surgeons,5,"Diagnose and perform surgery to treat fetal abnormalities and birth defects, diseases, and injuries in fetuses, premature and newborn infants, children, and adolescents. Includes all pediatric surgical specialties and subspecialties.",Healthcare Practitioners and Technical Occupations,29-1243.00,Chirurgiens pédiatriques,"Diagnostiquer et effectuer une intervention chirurgicale pour traiter les anomalies fœtales et les malformations congénitales, les maladies et les blessures chez les fœtus, les enfants prématurés et les nouveau-nés, les enfants et les adolescents. Comprend toutes les spécialités chirurgicales pédiatriques et les sous-spécialités.",Praticiens de la santé et professions techniques
Acupuncturists,5,"Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies.",Healthcare Practitioners and Technical Occupations,29-1291.00,Acupuncteurs,"Diagnostiquer, traiter et prévenir les troubles en stimulant des points d'acupuncture spécifiques dans le corps à l'aide d'aiguilles d'acupuncture. Peut également utiliser des tasses, des suppléments nutritionnels, un massage thérapeutique, de l'acupression et d'autres thérapies de santé alternatives.",Praticiens de la santé et professions techniques
Dental Hygienists,3,Administer oral hygiene care to patients. Assess patient oral hygiene problems or needs and maintain health records. Advise patients on oral health maintenance and disease prevention. May provide advanced care such as providing fluoride treatment or administering topical anesthesia.,Healthcare Practitioners and Technical Occupations,29-1292.00,Hygiénistes dentaires,Administrer des soins à l'hygiène orale aux patients. Évaluer les problèmes ou les besoins des patients en matière d'hygiène buccale et maintenir les dossiers de santé. Conseiller les patients sur le maintien de la santé bucco-dentaire et la prévention des maladies. Peut fournir des soins avancés tels que la fourniture d'un traitement au fluor ou l'administration d'anesthésie topique.,Praticiens de la santé et professions techniques
Naturopathic Physicians,5,"Diagnose, treat, and help prevent diseases using a system of practice that is based on the natural healing capacity of individuals. May use physiological, psychological or mechanical methods. May also use natural medicines, prescription or legend drugs, foods, herbs, or other natural remedies.",Healthcare Practitioners and Technical Occupations,29-1299.01,Médecins naturopathes,"Diagnostiquer, traiter et aider à prévenir les maladies en utilisant un système de pratique basé sur la capacité de guérison naturelle des individus. Peut utiliser des méthodes physiologiques, psychologiques ou mécaniques. Peut également utiliser des médicaments naturels, des médicaments sur ordonnance ou des légendes, des aliments, des herbes ou d'autres remèdes naturels.",Praticiens de la santé et professions techniques
Orthoptists,5,Diagnose and treat visual system disorders such as binocular vision and eye movement impairments.,Healthcare Practitioners and Technical Occupations,29-1299.02,Orthoptistes,Diagnostiquer et traiter les troubles du système visuel tels que la vision binoculaire et les troubles du mouvement oculaire.,Praticiens de la santé et professions techniques
Medical and Clinical Laboratory Technologists,4,"Perform complex medical laboratory tests for diagnosis, treatment, and prevention of disease. May train or supervise staff.",Healthcare Practitioners and Technical Occupations,29-2011.00,Technologues de laboratoire médical et clinique,"Effectuer des tests de laboratoire médical complexes pour le diagnostic, le traitement et la prévention des maladies. Peut former ou superviser le personnel.",Praticiens de la santé et professions techniques
Cytogenetic Technologists,4,"Analyze chromosomes or chromosome segments found in biological specimens, such as amniotic fluids, bone marrow, solid tumors, and blood to aid in the study, diagnosis, classification, or treatment of inherited or acquired genetic diseases. Conduct analyses through classical cytogenetic, fluorescent in situ hybridization (FISH) or array comparative genome hybridization (aCGH) techniques.",Healthcare Practitioners and Technical Occupations,29-2011.01,Technologues cytogénétiques,"Analyser les chromosomes ou les segments de chromosomes trouvés dans les échantillons biologiques, tels que les fluides amniotiques, la moelle osseuse, les tumeurs solides et le sang pour aider à l'étude, au diagnostic, à la classification ou au traitement des maladies génétiques héréditaires ou acquises. Conduire des analyses par des techniques classiques cytogénétiques, d'hybridation fluorescente in situ (FISH) ou d'hybridation du génome comparatives (ACGH).",Praticiens de la santé et professions techniques
Cytotechnologists,5,"Stain, mount, and study cells to detect evidence of cancer, hormonal abnormalities, and other pathological conditions following established standards and practices.",Healthcare Practitioners and Technical Occupations,29-2011.02,Cytotechnologistes,"Tacher, monter et étudier les cellules pour détecter les preuves du cancer, des anomalies hormonales et d'autres conditions pathologiques suite aux normes et pratiques établies.",Praticiens de la santé et professions techniques
Histotechnologists,4,Apply knowledge of health and disease causes to evaluate new laboratory techniques and procedures to examine tissue samples. Process and prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists. May solve technical or instrument problems or assist with research studies.,Healthcare Practitioners and Technical Occupations,29-2011.04,Histotechnologistes,Appliquer des connaissances sur la santé et les causes de la maladie pour évaluer les nouvelles techniques et procédures de laboratoire pour examiner les échantillons de tissus. Traiter et préparer des lames histologiques des coupes de tissus pour l'examen microscopique et le diagnostic par les pathologistes. Peut résoudre des problèmes techniques ou d'instruments ou aider à des études de recherche.,Praticiens de la santé et professions techniques
Medical and Clinical Laboratory Technicians,3,"Perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the supervision of a medical technologist.",Healthcare Practitioners and Technical Occupations,29-2012.00,Techniciens de laboratoire médical et clinique,"Effectuer des tests de laboratoire médical de routine pour le diagnostic, le traitement et la prévention des maladies. Peut travailler sous la supervision d'un technologue médical.",Praticiens de la santé et professions techniques
Histology Technicians,3,Prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists. May assist with research studies.,Healthcare Practitioners and Technical Occupations,29-2012.01,Techniciens d'histologie,Préparez les lames histologiques des coupes de tissus pour l'examen microscopique et le diagnostic par les pathologistes. Peut aider à des études de recherche.,Praticiens de la santé et professions techniques
Cardiovascular Technologists and Technicians,3,"Conduct tests on pulmonary or cardiovascular systems of patients for diagnostic, therapeutic, or research purposes. May conduct or assist in electrocardiograms, cardiac catheterizations, pulmonary functions, lung capacity, and similar tests.",Healthcare Practitioners and Technical Occupations,29-2031.00,Technologues et techniciens cardiovasculaires,"Effectuer des tests sur des systèmes pulmonaires ou cardiovasculaires de patients à des fins diagnostiques, thérapeutiques ou de recherche. Peut mener ou aider les électrocardiogrammes, les cathétérisations cardiaques, les fonctions pulmonaires, la capacité pulmonaire et les tests similaires.",Praticiens de la santé et professions techniques
Diagnostic Medical Sonographers,3,Produce ultrasonic recordings of internal organs for use by physicians. Includes vascular technologists.,Healthcare Practitioners and Technical Occupations,29-2032.00,Échographistes médicaux diagnostiques,Produisez des enregistrements ultrasoniques d'organes internes à utiliser par les médecins. Comprend des technologues vasculaires.,Praticiens de la santé et professions techniques
Nuclear Medicine Technologists,3,"Prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment. Prepare stock solutions of radioactive materials and calculate doses to be administered by radiologists. Subject patients to radiation. Execute blood volume, red cell survival, and fat absorption studies following standard laboratory techniques.",Healthcare Practitioners and Technical Occupations,29-2033.00,Technologues en médecine nucléaire,"Préparer, administrer et mesurer les isotopes radioactifs dans les études thérapeutiques, diagnostiques et traceurs à l'aide d'une variété d'équipements radio-isotopes. Préparer des solutions d'origine des matières radioactives et calculer les doses à administrer par des radiologues. Sujets patients à la radiation. Exécuter le volume sanguin, la survie des cellules rouges et les études d'absorption des graisses après des techniques de laboratoire standard.",Praticiens de la santé et professions techniques
Radiologic Technologists and Technicians,3,Take x-rays and CAT scans or administer nonradioactive materials into patient's bloodstream for diagnostic or research purposes. Includes radiologic technologists and technicians who specialize in other scanning modalities.,Healthcare Practitioners and Technical Occupations,29-2034.00,Technologues et techniciens radiologiques,Prenez des rayons X et des scanneurs de chats ou administrez des matières non radioactives dans la circulation sanguine du patient à des fins de diagnostic ou de recherche. Comprend des technologues et techniciens radiologiques qui se spécialisent dans d'autres modalités de balayage.,Praticiens de la santé et professions techniques
Magnetic Resonance Imaging Technologists,3,"Operate Magnetic Resonance Imaging (MRI) scanners. Monitor patient safety and comfort, and view images of area being scanned to ensure quality of pictures. May administer gadolinium contrast dosage intravenously. May interview patient, explain MRI procedures, and position patient on examining table. May enter into the computer data such as patient history, anatomical area to be scanned, orientation specified, and position of entry.",Healthcare Practitioners and Technical Occupations,29-2035.00,Technologues d'imagerie par résonance magnétique,"Opérer les scanners d'imagerie par résonance magnétique (IRM). Surveillez la sécurité et le confort des patients et visualisez les images de la zone scannée pour assurer la qualité des images. Peut administrer la dose de contraste de gadolinium par voie intraveineuse. Peut interroger le patient, expliquer les procédures d'IRM et positionner le patient sur l'examen de la table. Peut entrer dans les données informatiques telles que les antécédents du patient, la zone anatomique à analyser, l'orientation spécifiée et la position d'entrée.",Praticiens de la santé et professions techniques
Medical Dosimetrists,3,"Generate radiation treatment plans, develop radiation dose calculations, communicate and supervise the treatment plan implementation, and consult with members of radiation oncology team.",Healthcare Practitioners and Technical Occupations,29-2036.00,Dosimétristes médicaux,"Générer les plans de radiothérapie, développer des calculs de dose de rayonnement, communiquer et superviser la mise en œuvre du plan de traitement et consulter les membres de l'équipe de radiation.",Praticiens de la santé et professions techniques
Emergency Medical Technicians,3,Assess injuries and illnesses and administer basic emergency medical care. May transport injured or sick persons to medical facilities.,Healthcare Practitioners and Technical Occupations,29-2042.00,Techniciens médicaux d'urgence,Évaluer les blessures et les maladies et administrer des soins médicaux d'urgence de base. Peut transporter des blessures ou des malades dans des établissements médicaux.,Praticiens de la santé et professions techniques
Paramedics,3,"Administer basic or advanced emergency medical care and assess injuries and illnesses. May administer medication intravenously, use equipment such as EKGs, or administer advanced life support to sick or injured individuals.",Healthcare Practitioners and Technical Occupations,29-2043.00,Paramédicaux,"Administrer des soins médicaux d'urgence de base ou avancés et évaluer les blessures et les maladies. Peut administrer des médicaments par voie intraveineuse, utiliser des équipements tels que EKGS ou administrer un soutien à la vie avancée aux personnes malades ou blessées.",Praticiens de la santé et professions techniques
Dietetic Technicians,3,"Assist in the provision of food service and nutritional programs, under the supervision of a dietitian. May plan and produce meals based on established guidelines, teach principles of food and nutrition, or counsel individuals.",Healthcare Practitioners and Technical Occupations,29-2051.00,Techniciens diététiques,"Aider à la fourniture de programmes de services alimentaires et nutritionnels, sous la supervision d'un diététiste. Peut planifier et produire des repas en fonction des directives établies, enseigner les principes de l'alimentation et de la nutrition, ou conseiller les individus.",Praticiens de la santé et professions techniques
Pharmacy Technicians,3,"Prepare medications under the direction of a pharmacist. May measure, mix, count out, label, and record amounts and dosages of medications according to prescription orders.",Healthcare Practitioners and Technical Occupations,29-2052.00,Techniciens de pharmacie,"Préparer des médicaments sous la direction d'un pharmacien. Peut mesurer, mélanger, compter, étiqueter et enregistrer les quantités et les dosages des médicaments selon les commandes de prescription.",Praticiens de la santé et professions techniques
Psychiatric Technicians,3,"Care for individuals with mental or emotional conditions or disabilities, following the instructions of physicians or other health practitioners. Monitor patients' physical and emotional well-being and report to medical staff. May participate in rehabilitation and treatment programs, help with personal hygiene, and administer oral or injectable medications.",Healthcare Practitioners and Technical Occupations,29-2053.00,Techniciens psychiatriques,"Prendre soin des personnes souffrant de conditions ou de personnes handicapées mentales ou émotionnelles, en suivant les instructions des médecins ou d'autres praticiens de la santé. Surveiller le bien-être physique et émotionnel des patients et faire rapport au personnel médical. Peut participer à des programmes de réadaptation et de traitement, d'aider à l'hygiène personnelle et d'administrer des médicaments oraux ou injectables.",Praticiens de la santé et professions techniques
Surgical Technologists,3,"Assist in operations, under the supervision of surgeons, registered nurses, or other surgical personnel. May help set up operating room, prepare and transport patients for surgery, adjust lights and equipment, pass instruments and other supplies to surgeons and surgeons' assistants, hold retractors, cut sutures, and help count sponges, needles, supplies, and instruments.",Healthcare Practitioners and Technical Occupations,29-2055.00,Technologues chirurgicaux,"Aider les opérations, sous la supervision de chirurgiens, d'infirmières autorisées ou d'un autre personnel chirurgical. Peut aider à mettre en place une salle d'opération, préparer et transporter les patients pour la chirurgie, ajuster les lumières et l'équipement, passer des instruments et autres fournitures aux chirurgiens et aux assistants des chirurgiens, détenir des rétracteurs, couper des sutures et aider à compter les éponges, les aiguilles, les fournitures et les instruments.",Praticiens de la santé et professions techniques
Veterinary Technologists and Technicians,3,"Perform medical tests in a laboratory environment for use in the treatment and diagnosis of diseases in animals. Prepare vaccines and serums for prevention of diseases. Prepare tissue samples, take blood samples, and execute laboratory tests, such as urinalysis and blood counts. Clean and sterilize instruments and materials and maintain equipment and machines. May assist a veterinarian during surgery.",Healthcare Practitioners and Technical Occupations,29-2056.00,Technologues vétérinaires et techniciens,"Effectuer des tests médicaux dans un environnement de laboratoire à utiliser dans le traitement et le diagnostic des maladies chez les animaux. Préparer les vaccins et les sérums pour la prévention des maladies. Préparer des échantillons de tissus, prélever des échantillons de sang et exécuter des tests de laboratoire, tels que l'analyse d'urine et la numération sanguine. Nettoyer et stériliser les instruments et les matériaux et maintenir l'équipement et les machines. Peut aider un vétérinaire pendant la chirurgie.",Praticiens de la santé et professions techniques
Ophthalmic Medical Technicians,3,"Assist ophthalmologists by performing ophthalmic clinical functions. May administer eye exams, administer eye medications, and instruct the patient in care and use of corrective lenses.",Healthcare Practitioners and Technical Occupations,29-2057.00,Techniciens médicaux ophtalmiques,"Aider les ophtalmologistes en effectuant des fonctions cliniques ophtalmiques. Peut administrer des examens oculaires, administrer des médicaments oculaires et instruire le patient dans les soins et l'utilisation de lentilles correctives.",Praticiens de la santé et professions techniques
Licensed Practical and Licensed Vocational Nurses,3,"Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required.",Healthcare Practitioners and Technical Occupations,29-2061.00,Infirmières professionnelles pratiques et agréées sous licence,"Prendre soin des patients ou des personnes handicapées pour les hôpitaux, les maisons de soins infirmiers, les cliniques, les maisons privées, les maisons privées, les maisons privées et les institutions similaires. Peut travailler sous la supervision d'une infirmière autorisée. Licence requise.",Praticiens de la santé et professions techniques
